HGNC_Symbol,Log2FC,P_Value,DataSet
PNCK,1.42,0,BloodmRNA
OBSCN,-0.46,0.0152,BloodmRNA
STK40,-0.01,0.954,BloodmRNA
CAMK1D,-0.67,0.121,BloodmRNA
STK33,-0.63,8.7e-4,BloodmRNA
MKNK1,0.14,0.559,BloodmRNA
SIK3,-0.04,0.786,BloodmRNA
BRSK2,0.56,0.0361,BloodmRNA
MARK2,-0.78,0.0177,BloodmRNA
CHEK1,1.59,3e-5,BloodmRNA
MAPKAPK5,0.16,0.315,BloodmRNA
PHKG2,0.18,0.4216,DISC1_RNA
STK11,0.32,0.22731,DISC1_RNA
PIM3,0.32,0.32316,DISC1_RNA
CHEK2,0.05,0.8897,DISC1_RNA
KALRN,0.5,0.0673,DISC1_RNA
MARK2,0.23,0.28838,DISC1_RNA
PNCK,1.53,0.00124,DISC1_RNA
DCLK2,1.37,1.2e-4,DISC1_RNA
PRKD2,-0.36,0.16261,DISC1_RNA
OBSCN,0.63,0.17793,DISC1_RNA
SNRK,0.42,0.05312,DISC1_RNA
CHEK1,0.56,0.06285,DISC1_RNA
CASK,0.22,0.218,DISC1_RNA
MARK3,0.1,0.64823,DISC1_RNA
MKNK1,-0.52,0.13773,DISC1_RNA
DCLK1,-0.3,0.17236,DISC1_RNA
MARK4,0.44,0.14605,DISC1_RNA
CAMK2G,0.52,0.05347,DISC1_RNA
CAMK2B,1.32,0.00245,DISC1_RNA
CAMK2D,-0.29,0.19981,DISC1_RNA
PIM1,-0.12,0.6314,DISC1_RNA
MAPKAPK3,-0.85,0.0132,DISC1_RNA
PASK,0.3,0.11922,DISC1_RNA
BRSK2,0.47,0.03496,DISC1_RNA
MELK,-0.04,0.92137,DISC1_RNA
DAPK3,0.34,0.09941,DISC1_RNA
CAMK4,1.3,0.00617,DISC1_RNA
PRKD1,-0.03,0.91103,DISC1_RNA
TTN,1.67,7.4e-4,DISC1_RNA
CAMK1,1.41,6e-5,DISC1_RNA
MAPKAPK5,0.32,0.1346,DISC1_RNA
MAPKAPK2,-0.33,0.20607,DISC1_RNA
STK17A,0.87,0.02204,DISC1_RNA
DAPK1,0.34,0.08536,DISC1_RNA
PRKD3,0.1,0.72854,DISC1_RNA
PHKG1,0.25,0.67736,DISC1_RNA
PRKAA1,-0.18,0.56949,DISC1_RNA
PRKAA2,-0.31,0.41635,DISC1_RNA
PSKH1,-0.52,0.05234,DISC1_RNA
PIM2,-0.33,0.23437,DISC1_RNA
TRIO,0.63,0.01598,DISC1_RNA
HUNK,0.04,0.88223,DISC1_RNA
NUAK1,-0.92,0.00365,DISC1_RNA
SIK2,-0.84,0.00293,DISC1_RNA
CAMK2A,2.16,1.8e-4,DISC1_RNA
MKNK2,-0.52,0.03639,DISC1_RNA
MARK1,0.85,7e-4,DISC1_RNA
CAMK1D,-0.34,0.12971,DISC1_RNA
CAMK1G,1.08,0.03038,DISC1_RNA
TRIB3,-0.86,0.00619,DISC1_RNA
TRIB2,1.28,6e-5,DISC1_RNA
CAMKV,2.52,0,DISC1_RNA
SIK3,0.5,0.01587,DISC1_RNA
TRIB1,-1.19,0.03036,DISC1_RNA
STK33,-1.74,5e-4,DISC1_RNA
NUAK2,-1.11,0.00178,DISC1_RNA
STK40,-0.07,0.78652,DISC1_RNA
TSSK6,0.31,0.57691,DISC1_RNA
BRSK1,0.67,0.00573,DISC1_RNA
PSKH2,-0.5,0.54355,DISC1_RNA
DCLK3,1.57,0.01407,DISC1_RNA
MYLK,-2.8,0,DISC1_RNA
NIM1K,1.65,0.01201,DISC1_RNA
SIK1,-0.18,0.5196,DISC1_RNA
MYLK3,-0.38,0.6216,DISC1_RNA
MARK4,-0.03,0.07721,gandalMicro
CAMK1G,0.03,0.43339,gandalMicro
DAPK2,0.02,0.31469,gandalMicro
TRIO,-0.02,0.24637,gandalMicro
CAMK2B,-0.08,1.9e-4,gandalMicro
MYLK,0.04,0.1781,gandalMicro
CAMK2A,-0.04,0.34019,gandalMicro
TRIB2,-0.14,1e-5,gandalMicro
MARK2,-0.07,0.00267,gandalMicro
NUAK1,-0.09,7e-5,gandalMicro
MARK3,-0.01,0.69603,gandalMicro
MKNK1,0.07,6e-5,gandalMicro
STK17B,0.27,0,gandalMicro
MAPKAPK5,-0.08,1.3e-4,gandalMicro
MKNK2,0.04,0.12133,gandalMicro
TRIB3,-0.02,0.22217,gandalMicro
PIM2,0,0.891,gandalMicro
PRKD2,-0.01,0.81171,gandalMicro
MAPKAPK3,0.06,0.00492,gandalMicro
PASK,-0.01,0.62288,gandalMicro
PRKD3,0.06,0.01205,gandalMicro
MARK1,-0.06,0.00694,gandalMicro
STK11,-0.01,0.49801,gandalMicro
PRKAA1,-0.02,0.36734,gandalMicro
DCLK1,-0.07,0.01223,gandalMicro
CAMK1,-0.1,0,gandalMicro
PIM1,0.04,0.03502,gandalMicro
HUNK,-0.08,9.6e-4,gandalMicro
SIK1,-0.17,3.6e-4,gandalMicro
CASK,0.02,0.25122,gandalMicro
CAMK2G,-0.05,0.00101,gandalMicro
CHEK1,0.01,0.77253,gandalMicro
CAMK4,-0.06,0.02068,gandalMicro
OBSCN,0.05,0.00863,gandalMicro
TTN,0.01,0.45848,gandalMicro
PHKG2,-0.05,0.00286,gandalMicro
PSKH1,0,0.9092,gandalMicro
KALRN,-0.03,0.14021,gandalMicro
SIK3,0.01,0.50988,gandalMicro
PRKAA2,-0.01,0.55763,gandalMicro
MAPKAPK2,0.02,0.31729,gandalMicro
NUAK2,0.02,0.24523,gandalMicro
SNRK,-0.05,0.007,gandalMicro
CAMKV,-0.03,0.25945,gandalMicro
STK17A,0.02,0.49244,gandalMicro
PHKG1,0.07,0.00309,gandalMicro
MELK,-0.01,0.50298,gandalMicro
DAPK3,-0.06,0.00759,gandalMicro
SIK2,0,0.87403,gandalMicro
TRIB1,-0.07,0.1315,gandalMicro
BRSK2,-0.08,1e-5,gandalMicro
CAMK1D,-0.04,0.04086,gandalMicro
CHEK2,-0.02,0.3149,gandalMicro
PRKD1,-0.02,0.45193,gandalMicro
DAPK1,0.05,0.01741,gandalMicro
TSSK1B,-0.01,0.56027,gandalMicro
TSSK2,0.02,0.39106,gandalMicro
MARK4,0.04,0.03364,gandalRNAseq
CAMK1G,0.01,0.85928,gandalRNAseq
DAPK2,0.06,0.15752,gandalRNAseq
TRIO,0,0.9073,gandalRNAseq
CAMK2B,-0.09,0.01232,gandalRNAseq
MYLK,-0.01,0.80353,gandalRNAseq
CAMK2A,-0.08,0.00278,gandalRNAseq
TRIB2,-0.21,0.04786,gandalRNAseq
MARK2,-0.06,0.23143,gandalRNAseq
NUAK1,-0.09,0.26057,gandalRNAseq
MARK3,0.01,0.69805,gandalRNAseq
MKNK1,0.03,0.34434,gandalRNAseq
STK17B,0.16,0.09483,gandalRNAseq
MAPKAPK5,-0.03,0.01313,gandalRNAseq
MKNK2,0.09,0.01225,gandalRNAseq
TRIB3,-0.05,0.23506,gandalRNAseq
PIM2,-0.01,0.66457,gandalRNAseq
PRKD2,-0.12,0.14368,gandalRNAseq
MAPKAPK3,0.01,0.74731,gandalRNAseq
PASK,-0.06,0.56909,gandalRNAseq
PRKD3,0.05,0.02405,gandalRNAseq
MARK1,-0.07,0.11178,gandalRNAseq
STK11,-0.02,0.38745,gandalRNAseq
STK33,0.02,0.72762,gandalRNAseq
PNCK,0.02,0.58537,gandalRNAseq
PRKAA1,-0.04,0.00657,gandalRNAseq
DCLK1,-0.05,0.45295,gandalRNAseq
CAMK1,-0.08,0.05377,gandalRNAseq
PIM1,0.23,1e-5,gandalRNAseq
HUNK,-0.11,1.9e-4,gandalRNAseq
SIK1,-0.11,0.52804,gandalRNAseq
CAMK2D,-0.01,0.51592,gandalRNAseq
MYLK4,-0.01,0.74055,gandalRNAseq
CASK,0,0.99763,gandalRNAseq
CAMK2G,-0.11,0,gandalRNAseq
CHEK1,0.02,0.58911,gandalRNAseq
CAMK4,-0.1,0.02449,gandalRNAseq
OBSCN,0.01,0.77226,gandalRNAseq
TTN,0.04,0.54477,gandalRNAseq
PHKG2,-0.03,0.45795,gandalRNAseq
PSKH1,0,0.99879,gandalRNAseq
KALRN,-0.02,0.14208,gandalRNAseq
BRSK1,-0.1,2e-5,gandalRNAseq
SIK3,0.04,0.14331,gandalRNAseq
PRKAA2,0.01,0.71952,gandalRNAseq
MAPKAPK2,0.08,0.00699,gandalRNAseq
DCLK3,0.08,0.06225,gandalRNAseq
SNRK,-0.08,0.03013,gandalRNAseq
CAMKV,-0.01,0.58178,gandalRNAseq
STK17A,-0.08,0.1612,gandalRNAseq
PHKG1,-0.05,0.27039,gandalRNAseq
DAPK3,-0.01,0.56685,gandalRNAseq
SIK2,-0.01,0.59698,gandalRNAseq
DCLK2,-0.06,0.21024,gandalRNAseq
TRIB1,-0.16,9.7e-4,gandalRNAseq
BRSK2,-0.06,7.4e-4,gandalRNAseq
NIM1K,0.01,0.52005,gandalRNAseq
TSSK6,0.08,0.48207,gandalRNAseq
CAMK1D,-0.04,0.06413,gandalRNAseq
CHEK2,0.05,0.40165,gandalRNAseq
PRKD1,-0.11,5e-5,gandalRNAseq
STK40,-0.1,0.24901,gandalRNAseq
DAPK1,0.04,0.0362,gandalRNAseq
PIM3,-0.05,0.51042,gandalRNAseq
CAMK2D,-0.2,0.04685,hiPSC_NPC1
CAMK1G,1.11,0.05166,hiPSC_NPC1
PRKD1,1.33,0.05217,hiPSC_NPC1
SIK1,0.45,0.05563,hiPSC_NPC1
TTN,-0.92,0.05961,hiPSC_NPC1
PRKAA2,0.27,0.07476,hiPSC_NPC1
HUNK,0.29,0.10781,hiPSC_NPC1
PHKG1,0.21,0.1474,hiPSC_NPC1
CAMK1,-0.15,0.16596,hiPSC_NPC1
CAMK2G,-0.15,0.17222,hiPSC_NPC1
SIK3,0.11,0.17337,hiPSC_NPC1
TRIB2,-0.2,0.19377,hiPSC_NPC1
MYLK3,0.28,0.23895,hiPSC_NPC1
SNRK,-0.1,0.27874,hiPSC_NPC1
MARK4,-0.09,0.28898,hiPSC_NPC1
DCLK1,-0.2,0.29775,hiPSC_NPC1
KALRN,0.24,0.2979,hiPSC_NPC1
STK17A,0.24,0.30781,hiPSC_NPC1
CAMK1D,-0.21,0.31978,hiPSC_NPC1
TSSK4,-0.07,0.3265,hiPSC_NPC1
STK33,0.11,0.33099,hiPSC_NPC1
TSSK6,-0.09,0.35758,hiPSC_NPC1
DCLK2,-0.18,0.37541,hiPSC_NPC1
PSKH1,-0.09,0.40097,hiPSC_NPC1
MAPKAPK2,0.07,0.41291,hiPSC_NPC1
MARK3,-0.04,0.42007,hiPSC_NPC1
CHEK1,0.13,0.42609,hiPSC_NPC1
BRSK2,0.08,0.4328,hiPSC_NPC1
BRSK1,-0.1,0.43306,hiPSC_NPC1
DAPK3,-0.07,0.44023,hiPSC_NPC1
TRIB1,0.19,0.44788,hiPSC_NPC1
PRKAA1,-0.04,0.44989,hiPSC_NPC1
DAPK2,0.23,0.45062,hiPSC_NPC1
MKNK1,-0.07,0.48105,hiPSC_NPC1
CAMKV,0.16,0.53041,hiPSC_NPC1
PASK,0.1,0.54743,hiPSC_NPC1
CHEK2,0.09,0.5711,hiPSC_NPC1
PRKD2,0.06,0.57376,hiPSC_NPC1
PRKD3,0.07,0.57496,hiPSC_NPC1
MARK2,0.03,0.62005,hiPSC_NPC1
MELK,0.11,0.63784,hiPSC_NPC1
NUAK2,-0.09,0.64092,hiPSC_NPC1
MYLK,0.09,0.67456,hiPSC_NPC1
STK17B,0.08,0.68009,hiPSC_NPC1
TSSK3,-0.04,0.68538,hiPSC_NPC1
MAPKAPK3,0.06,0.71004,hiPSC_NPC1
STK40,0.04,0.71271,hiPSC_NPC1
PIM1,0.08,0.72402,hiPSC_NPC1
PHKG2,-0.03,0.72963,hiPSC_NPC1
TRIO,-0.03,0.73152,hiPSC_NPC1
NUAK1,-0.07,0.76755,hiPSC_NPC1
CAMK2A,-0.12,0.7699,hiPSC_NPC1
SIK2,0.02,0.8139,hiPSC_NPC1
MYLK2,-0.08,0.82572,hiPSC_NPC1
PIM2,0.03,0.85508,hiPSC_NPC1
CAMK2B,0.05,0.88303,hiPSC_NPC1
PNCK,-0.03,0.89452,hiPSC_NPC1
PIM3,-0.03,0.91185,hiPSC_NPC1
MAPKAPK5,0.01,0.92629,hiPSC_NPC1
TRIB3,0.02,0.93904,hiPSC_NPC1
OBSCN,0.02,0.93929,hiPSC_NPC1
CAMK4,0.01,0.94459,hiPSC_NPC1
CASK,0.01,0.94663,hiPSC_NPC1
MKNK2,0.01,0.96139,hiPSC_NPC1
MARK1,0,0.98274,hiPSC_NPC1
DAPK1,0,0.9871,hiPSC_NPC1
STK11,0,0.98929,hiPSC_NPC1
PIM3,-0.22,0.18799,MtSinaiACC
NIM1K,0.31,0.00144,MtSinaiACC
PNCK,0.55,0.0099,MtSinaiACC
BRSK1,0.13,0.5446,MtSinaiACC
NUAK2,0.27,0.2637,MtSinaiACC
CAMKV,0.44,0.03369,MtSinaiACC
STK33,-0.19,0.42233,MtSinaiACC
MARK4,0.14,0.18481,MtSinaiACC
TRIB3,0.02,0.90178,MtSinaiACC
CAMK1G,0.33,0.13888,MtSinaiACC
CAMK1D,-0.11,0.67146,MtSinaiACC
SNRK,0.2,0.06822,MtSinaiACC
TRIB2,0.17,0.29168,MtSinaiACC
CASK,0.21,0.13693,MtSinaiACC
PRKD2,-0.08,0.64017,MtSinaiACC
PRKD3,-0.22,0.34158,MtSinaiACC
SIK3,-0.15,0.29888,MtSinaiACC
SIK2,-0.12,0.2142,MtSinaiACC
PASK,-0.01,0.97386,MtSinaiACC
TRIB1,-0.1,0.63453,MtSinaiACC
NUAK1,0.3,0.04809,MtSinaiACC
STK17A,-0.01,0.97507,MtSinaiACC
MAPKAPK2,-0.39,0.05816,MtSinaiACC
DCLK1,0.46,0.09712,MtSinaiACC
BRSK2,0.3,0.21198,MtSinaiACC
KALRN,0.44,0.05945,MtSinaiACC
MKNK1,-0.01,0.96519,MtSinaiACC
MAPKAPK5,-0.05,0.74878,MtSinaiACC
CAMK1,0.23,0.13221,MtSinaiACC
MAPKAPK3,-0.04,0.79479,MtSinaiACC
TRIO,-0.15,0.38598,MtSinaiACC
STK11,0.28,0.05521,MtSinaiACC
PRKD1,0.14,0.23377,MtSinaiACC
PRKAA2,-0.69,0.01889,MtSinaiACC
PRKAA1,0.19,0.39124,MtSinaiACC
PIM1,-0.31,0.08924,MtSinaiACC
MYLK,-0.28,0.26573,MtSinaiACC
MARK3,-0.09,0.2792,MtSinaiACC
MARK1,0.19,0.48523,MtSinaiACC
MKNK2,-0.35,0.13657,MtSinaiACC
DAPK3,0.12,0.68026,MtSinaiACC
DAPK1,0.23,0.16877,MtSinaiACC
CHEK1,0.45,0.04959,MtSinaiACC
CAMK2G,0.44,0.01441,MtSinaiACC
CAMK2D,0.29,0.20635,MtSinaiACC
CAMK2B,0.18,0.18899,MtSinaiACC
CAMK2A,0.2,0.46835,MtSinaiACC
CAMK4,-0.07,0.83036,MtSinaiACC
PIM3,-0.08,0.7443,MtSinaiDLPFC
NIM1K,-0.1,0.47685,MtSinaiDLPFC
PNCK,0.12,0.51036,MtSinaiDLPFC
BRSK1,0.13,0.52172,MtSinaiDLPFC
NUAK2,0.15,0.69814,MtSinaiDLPFC
CAMKV,0.25,0.39741,MtSinaiDLPFC
STK33,0.15,0.50646,MtSinaiDLPFC
MARK4,-0.04,0.78607,MtSinaiDLPFC
TRIB3,0.03,0.90645,MtSinaiDLPFC
CAMK1G,-0.1,0.54513,MtSinaiDLPFC
CAMK1D,0.12,0.53573,MtSinaiDLPFC
SNRK,-0.08,0.35721,MtSinaiDLPFC
TRIB2,0.09,0.60899,MtSinaiDLPFC
CASK,0.04,0.82194,MtSinaiDLPFC
PRKD2,0.37,0.28461,MtSinaiDLPFC
PRKD3,0.46,0.34812,MtSinaiDLPFC
SIK3,-0.1,0.55285,MtSinaiDLPFC
SIK2,-0.02,0.87774,MtSinaiDLPFC
PASK,0.11,0.70921,MtSinaiDLPFC
TRIB1,0.44,0.0515,MtSinaiDLPFC
NUAK1,-0.1,0.54844,MtSinaiDLPFC
STK17A,0.91,0.18901,MtSinaiDLPFC
MAPKAPK2,0.24,0.15581,MtSinaiDLPFC
DCLK1,-0.4,0.0512,MtSinaiDLPFC
BRSK2,-0.27,0.25046,MtSinaiDLPFC
KALRN,-0.25,0.13042,MtSinaiDLPFC
MKNK1,-0.09,0.42177,MtSinaiDLPFC
MAPKAPK5,0.16,0.52652,MtSinaiDLPFC
CAMK1,0.03,0.86479,MtSinaiDLPFC
MAPKAPK3,0.31,0.02295,MtSinaiDLPFC
TRIO,-0.09,0.63426,MtSinaiDLPFC
STK11,0.12,0.44382,MtSinaiDLPFC
PRKD1,-0.1,0.63318,MtSinaiDLPFC
PRKAA2,0.3,0.16994,MtSinaiDLPFC
PRKAA1,-0.18,0.31716,MtSinaiDLPFC
PIM1,0.06,0.78165,MtSinaiDLPFC
MYLK,-0.33,0.13518,MtSinaiDLPFC
MARK3,-0.15,0.02988,MtSinaiDLPFC
MARK1,-0.04,0.82788,MtSinaiDLPFC
MKNK2,0.71,0.03892,MtSinaiDLPFC
DAPK3,-0.37,0.24257,MtSinaiDLPFC
DAPK1,-0.21,0.24986,MtSinaiDLPFC
CHEK1,0.29,0.67576,MtSinaiDLPFC
CAMK2G,-0.41,0.00402,MtSinaiDLPFC
CAMK2D,-0.19,0.19063,MtSinaiDLPFC
CAMK2B,-0.04,0.805,MtSinaiDLPFC
CAMK2A,0.01,0.97659,MtSinaiDLPFC
CAMK4,0.18,0.44838,MtSinaiDLPFC
PIM3,0,0.98893,MtSinaiMTA
NIM1K,-0.05,0.6402,MtSinaiMTA
PNCK,-0.12,0.48476,MtSinaiMTA
BRSK1,0.25,0.1595,MtSinaiMTA
NUAK2,-0.43,0.01304,MtSinaiMTA
CAMKV,0.08,0.66164,MtSinaiMTA
STK33,0.14,0.53408,MtSinaiMTA
MARK4,-0.02,0.87603,MtSinaiMTA
TRIB3,0.13,0.57148,MtSinaiMTA
CAMK1G,0.16,0.54506,MtSinaiMTA
CAMK1D,0.2,0.22968,MtSinaiMTA
SNRK,-0.09,0.31572,MtSinaiMTA
TRIB2,0.22,0.16843,MtSinaiMTA
CASK,0.01,0.93124,MtSinaiMTA
PRKD2,0.06,0.71313,MtSinaiMTA
PRKD3,-0.2,0.34158,MtSinaiMTA
SIK3,-0.1,0.50775,MtSinaiMTA
SIK2,0.05,0.56344,MtSinaiMTA
PASK,-0.23,0.10241,MtSinaiMTA
TRIB1,-0.22,0.19504,MtSinaiMTA
NUAK1,0.15,0.30845,MtSinaiMTA
STK17A,-0.01,0.95557,MtSinaiMTA
MAPKAPK2,-0.27,0.14476,MtSinaiMTA
DCLK1,0.24,0.3547,MtSinaiMTA
BRSK2,0.51,0.01656,MtSinaiMTA
KALRN,-0.01,0.9555,MtSinaiMTA
MKNK1,-0.23,0.04061,MtSinaiMTA
MAPKAPK5,0.3,0.05133,MtSinaiMTA
CAMK1,0.16,0.1905,MtSinaiMTA
MAPKAPK3,0,0.99401,MtSinaiMTA
TRIO,-0.09,0.64525,MtSinaiMTA
STK11,0.08,0.56561,MtSinaiMTA
PRKD1,0.18,0.24293,MtSinaiMTA
PRKAA2,0.42,0.20531,MtSinaiMTA
PRKAA1,-0.6,0.01443,MtSinaiMTA
PIM1,-0.16,0.41995,MtSinaiMTA
MYLK,-0.31,0.21113,MtSinaiMTA
MARK3,0.08,0.46891,MtSinaiMTA
MARK1,0.1,0.63273,MtSinaiMTA
MKNK2,0.35,0.10355,MtSinaiMTA
DAPK3,0.09,0.71847,MtSinaiMTA
DAPK1,0.05,0.76076,MtSinaiMTA
CHEK1,-0.28,0.19339,MtSinaiMTA
CAMK2G,-0.35,0.03291,MtSinaiMTA
CAMK2D,-0.18,0.4827,MtSinaiMTA
CAMK2B,0.04,0.82301,MtSinaiMTA
CAMK2A,0.39,0.11328,MtSinaiMTA
CAMK4,0.34,0.15957,MtSinaiMTA
PIM3,-0.3,0.20823,MtSinaiTPA
NIM1K,0.05,0.65802,MtSinaiTPA
PNCK,0.21,0.13878,MtSinaiTPA
BRSK1,-0.01,0.95879,MtSinaiTPA
NUAK2,-0.17,0.2982,MtSinaiTPA
CAMKV,0.14,0.29857,MtSinaiTPA
STK33,0.03,0.92594,MtSinaiTPA
MARK4,-0.04,0.65891,MtSinaiTPA
TRIB3,-0.08,0.639,MtSinaiTPA
CAMK1G,-0.14,0.56281,MtSinaiTPA
CAMK1D,-0.26,0.2998,MtSinaiTPA
SNRK,0,0.99071,MtSinaiTPA
TRIB2,0.25,0.01579,MtSinaiTPA
CASK,0.04,0.64453,MtSinaiTPA
PRKD2,0.08,0.62147,MtSinaiTPA
PRKD3,-0.24,0.1258,MtSinaiTPA
SIK3,-0.35,0.01269,MtSinaiTPA
SIK2,-0.01,0.88981,MtSinaiTPA
PASK,-0.02,0.89999,MtSinaiTPA
TRIB1,-0.17,0.4301,MtSinaiTPA
NUAK1,0.01,0.93892,MtSinaiTPA
STK17A,-0.06,0.6575,MtSinaiTPA
MAPKAPK2,-0.09,0.6602,MtSinaiTPA
DCLK1,0.26,0.291,MtSinaiTPA
BRSK2,0.34,0.16,MtSinaiTPA
KALRN,0.11,0.5187,MtSinaiTPA
MKNK1,-0.01,0.89839,MtSinaiTPA
MAPKAPK5,0.17,0.22852,MtSinaiTPA
CAMK1,0.15,0.05747,MtSinaiTPA
MAPKAPK3,-0.15,0.43171,MtSinaiTPA
TRIO,0.12,0.49141,MtSinaiTPA
STK11,0.12,0.32399,MtSinaiTPA
PRKD1,0,0.98638,MtSinaiTPA
PRKAA2,0.76,0.02419,MtSinaiTPA
PRKAA1,-0.52,6.5e-4,MtSinaiTPA
PIM1,-0.08,0.66838,MtSinaiTPA
MYLK,-0.18,0.37202,MtSinaiTPA
MARK3,0.1,0.18156,MtSinaiTPA
MARK1,0.21,0.21445,MtSinaiTPA
MKNK2,0.2,0.31811,MtSinaiTPA
DAPK3,-0.07,0.77993,MtSinaiTPA
DAPK1,-0.08,0.5136,MtSinaiTPA
CHEK1,-0.14,0.40955,MtSinaiTPA
CAMK2G,-0.28,0.10319,MtSinaiTPA
CAMK2D,-0.03,0.90918,MtSinaiTPA
CAMK2B,0.04,0.79179,MtSinaiTPA
CAMK2A,0.19,0.49089,MtSinaiTPA
CAMK4,0.65,0.00537,MtSinaiTPA
CASK,-0.07,0.03455,Stanley
NUAK1,-0.07,0.37451,Stanley
CAMK2A,0,0.9786,Stanley
CAMK2B,-0.03,0.27255,Stanley
CAMK2D,-0.02,0.23639,Stanley
