HGNC_Symbol,Log2FC,P_Value,DataSet
MAPK4,-0.03,0.1152,CommonMind_DLPFC
MAPK3,0.03,0.2231,CommonMind_DLPFC
MAPK13,-0.03,0.2289,CommonMind_DLPFC
MAPK12,-0.02,0.3406,CommonMind_DLPFC
MAPK11,0.01,0.3665,CommonMind_DLPFC
MAPK14,-0.01,0.4351,CommonMind_DLPFC
MAPK10,-0.01,0.5061,CommonMind_DLPFC
MAPK1,-0.01,0.551,CommonMind_DLPFC
MAPK6,0,0.7054,CommonMind_DLPFC
MAPK9,0,0.9714,CommonMind_DLPFC
MAPK8,0,0.9784,CommonMind_DLPFC
MAPK4,-0.05,0.39773,Deep_Neurons
MAPK11,0.07,0.44582,Deep_Neurons
MAPK3,0.06,0.51144,Deep_Neurons
MAPK14,-0.04,0.54319,Deep_Neurons
MAPK8,0.06,0.58959,Deep_Neurons
MAPK9,0.1,0.59642,Deep_Neurons
MAPK7,-0.05,0.59936,Deep_Neurons
MAPK15,-0.03,0.68283,Deep_Neurons
MAPK1,0.02,0.78343,Deep_Neurons
MAPK6,0.03,0.79737,Deep_Neurons
MAPK12,-0.02,0.83511,Deep_Neurons
MAPK13,-0.01,0.84902,Deep_Neurons
MAPK8,-0.06,0.76878,Superficial_Neurons
MAPK6,0.03,0.80053,Superficial_Neurons
MAPK3,0.05,0.58117,Superficial_Neurons
MAPK7,-0.09,0.37812,Superficial_Neurons
MAPK4,-0.05,0.4664,Superficial_Neurons
MAPK1,0.01,0.90685,Superficial_Neurons
MAPK12,0,0.98109,Superficial_Neurons
MAPK11,0.08,0.40879,Superficial_Neurons
MAPK9,0.1,0.62753,Superficial_Neurons
MAPK14,-0.03,0.71361,Superficial_Neurons
MAPK13,-0.02,0.83298,Superficial_Neurons
MAPK15,-0.03,0.61845,Superficial_Neurons
MAPK11,0.15,0.28327,Superficial_Deep_Neurons
MAPK4,-0.1,0.28853,Superficial_Deep_Neurons
MAPK7,-0.15,0.33972,Superficial_Deep_Neurons
MAPK3,0.1,0.41475,Superficial_Deep_Neurons
MAPK8,0.12,0.48408,Superficial_Deep_Neurons
MAPK9,0.2,0.49286,Superficial_Deep_Neurons
MAPK14,-0.07,0.51125,Superficial_Deep_Neurons
MAPK15,-0.06,0.539,Superficial_Deep_Neurons
MAPK6,0.05,0.73026,Superficial_Deep_Neurons
MAPK13,-0.03,0.78572,Superficial_Deep_Neurons
MAPK1,0.03,0.79213,Superficial_Deep_Neurons
MAPK12,-0.03,0.79979,Superficial_Deep_Neurons
MAPK12,-0.77,0.00244,Lewis_2017_L3
MAPK8,-0.15,0.11224,Lewis_2017_L3
MAPK11,0.18,0.14916,Lewis_2017_L3
MAPK14,0.24,0.15375,Lewis_2017_L3
MAPK3,0.38,0.1582,Lewis_2017_L3
MAPK10,0.13,0.16647,Lewis_2017_L3
MAPK1,0.08,0.34203,Lewis_2017_L3
MAPK7,0.11,0.50702,Lewis_2017_L3
MAPK15,-0.03,0.62833,Lewis_2017_L3
MAPK9,-0.04,0.68575,Lewis_2017_L3
MAPK6,0.03,0.7612,Lewis_2017_L3
MAPK13,-0.06,0.76868,Lewis_2017_L3
MAPK4,0.04,0.81006,Lewis_2017_L3
MAPK11,-0.3,0.02074,Lewis_2017_L5
MAPK10,0.22,0.02786,Lewis_2017_L5
MAPK3,0.56,0.04599,Lewis_2017_L5
MAPK7,-0.23,0.16552,Lewis_2017_L5
MAPK4,-0.23,0.20579,Lewis_2017_L5
MAPK14,-0.18,0.30408,Lewis_2017_L5
MAPK15,0.07,0.32435,Lewis_2017_L5
MAPK13,0.17,0.40161,Lewis_2017_L5
MAPK9,-0.07,0.52262,Lewis_2017_L5
MAPK12,-0.03,0.71917,Lewis_2017_L5
MAPK1,-0.03,0.75524,Lewis_2017_L5
MAPK8,0.02,0.85151,Lewis_2017_L5
MAPK6,0,0.99305,Lewis_2017_L5
MAPK8,-0.2,0.00199,Lewis_2015_L3
MAPK11,0.09,0.10555,Lewis_2015_L3
MAPK12,-0.12,0.10807,Lewis_2015_L3
MAPK15,0.05,0.21115,Lewis_2015_L3
MAPK7,-0.1,0.25647,Lewis_2015_L3
MAPK4,-0.16,0.46781,Lewis_2015_L3
MAPK10,0.09,0.49102,Lewis_2015_L3
MAPK14,-0.05,0.62021,Lewis_2015_L3
MAPK6,-0.03,0.799,Lewis_2015_L3
MAPK1,0.01,0.80234,Lewis_2015_L3
MAPK3,0.02,0.84732,Lewis_2015_L3
MAPK9,0.01,0.85344,Lewis_2015_L3
MAPK13,0.01,0.94751,Lewis_2015_L3
MAPK8,-0.26,9e-5,Lewis_2015_L5
MAPK11,0.16,0.00896,Lewis_2015_L5
MAPK9,-0.19,0.01198,Lewis_2015_L5
MAPK7,0.19,0.02834,Lewis_2015_L5
MAPK15,0.07,0.09072,Lewis_2015_L5
MAPK12,-0.09,0.23838,Lewis_2015_L5
MAPK4,0.18,0.40765,Lewis_2015_L5
MAPK13,-0.09,0.44832,Lewis_2015_L5
MAPK6,-0.09,0.47148,Lewis_2015_L5
MAPK14,0.04,0.71045,Lewis_2015_L5
MAPK10,-0.04,0.7417,Lewis_2015_L5
MAPK1,0.01,0.78324,Lewis_2015_L5
MAPK3,0,0.96714,Lewis_2015_L5
MAPK3,0.22,0.01819,barnesAll
MAPK1,0.07,0.34519,barnesAll
MAPK14,0.21,0.21616,barnesAll
MAPK12,1.04,0.15233,barnesAll
MAPK15,0.32,0.33393,barnesAll
MAPK6,-0.33,0.36975,barnesAll
MAPK11,-0.28,0.73357000000000006,barnesAll
MAPK7,0.22,0.83447,barnesAll
MAPK8,-0.04,0.59814,barnesAll
MAPK10,-0.05,0.71742,barnesAll
MAPK9,-0.09,0.66017,barnesAll
MAPK13,-0.08,0.71401,barnesAll
MAPK4,-0.11,0.83244,barnesAll
MAPK1,-0.17,0.51909,barnesFemale
MAPK9,-0.25,0.38222,barnesFemale
MAPK12,1.65,0.34395,barnesFemale
MAPK11,-0.88,0.22059,barnesFemale
MAPK4,-0.08,0.30594,barnesFemale
MAPK14,0.11,0.5532,barnesFemale
MAPK6,-0.41,0.40105,barnesFemale
MAPK3,0.14,0.31424,barnesFemale
MAPK7,0.43,0.59784,barnesFemale
MAPK13,-0.3,0.4623,barnesFemale
MAPK8,-0.11,0.55002,barnesFemale
MAPK10,-0.11,0.56716,barnesFemale
MAPK15,0,0.96929,barnesFemale
MAPK1,0.21,0.16655,barnesMale
MAPK3,0.3,0.03366,barnesMale
MAPK15,0.55,0.26728,barnesMale
MAPK14,0.3,0.27272,barnesMale
MAPK12,0.45,0.36148,barnesMale
MAPK7,-0.2,0.46886,barnesMale
MAPK8,0,0.55583,barnesMale
MAPK6,-0.12,0.38246,barnesMale
MAPK11,0.08,0.8394,barnesMale
MAPK4,-0.14,0.52099,barnesMale
MAPK13,0.04,0.65903,barnesMale
MAPK10,-0.01,0.74838,barnesMale
MAPK9,0.03,0.87061,barnesMale
MAPK4,0.49,0.01616,Iwamoto_BA10_SCZ
MAPK8,-0.45,0.31961,Iwamoto_BA10_SCZ
MAPK10,0.15,0.31548,Iwamoto_BA10_SCZ
MAPK11,-0.11,0.43158,Iwamoto_BA10_SCZ
MAPK14,0.05,0.3942,Iwamoto_BA10_SCZ
MAPK7,-0.09,0.41044,Iwamoto_BA10_SCZ
MAPK3,0.07,0.41963,Iwamoto_BA10_SCZ
MAPK12,-0.04,0.5767,Iwamoto_BA10_SCZ
MAPK1,-0.17,0.60516,Iwamoto_BA10_SCZ
MAPK9,-0.03,0.83444,Iwamoto_BA10_SCZ
MAPK6,0.04,0.77793,Iwamoto_BA10_SCZ
MAPK13,0.05,0.8209,Iwamoto_BA10_SCZ
MAPK13,0,0.13612,Iwamoto_BA46_SCZ
MAPK14,-0.06,0.25108,Iwamoto_BA46_SCZ
MAPK11,-0.19,0.19925,Iwamoto_BA46_SCZ
MAPK9,-0.07,0.15211,Iwamoto_BA46_SCZ
MAPK1,-0.09,0.34058,Iwamoto_BA46_SCZ
MAPK3,-0.11,0.14935,Iwamoto_BA46_SCZ
MAPK8,-0.17,0.18974,Iwamoto_BA46_SCZ
MAPK4,-0.18,0.44145,Iwamoto_BA46_SCZ
MAPK10,0.03,0.62396,Iwamoto_BA46_SCZ
MAPK12,-0.06,0.56989,Iwamoto_BA46_SCZ
MAPK7,0,0.59031,Iwamoto_BA46_SCZ
MAPK6,0.03,0.66755,Iwamoto_BA46_SCZ
MAPK14,0.08,0.3388,MaycoxAll
MAPK11,-0.17,0.16742,MaycoxAll
MAPK1,0.05,0.69039,MaycoxAll
MAPK15,0.24,0.37045,MaycoxAll
MAPK8,0.01,0.52912,MaycoxAll
MAPK13,0.1,0.31168,MaycoxAll
MAPK10,-0.03,0.49932,MaycoxAll
MAPK7,0.01,0.41656,MaycoxAll
MAPK9,-0.1,0.40026,MaycoxAll
MAPK4,-0.04,0.78766,MaycoxAll
MAPK6,-0.09,0.66301,MaycoxAll
MAPK12,-0.01,0.77925,MaycoxAll
MAPK3,0.03,0.73748,MaycoxAll
MAPK4,0.26,0.2424,MaycoxFemale
MAPK3,0.25,0.09799,MaycoxFemale
MAPK12,0.2,0.20258,MaycoxFemale
MAPK9,-0.24,0.23177,MaycoxFemale
MAPK1,0.09,0.5569,MaycoxFemale
MAPK11,-0.09,0.48317,MaycoxFemale
MAPK14,0,0.504,MaycoxFemale
MAPK6,-0.22,0.35304,MaycoxFemale
MAPK8,-0.06,0.5361,MaycoxFemale
MAPK7,0.04,0.50189,MaycoxFemale
MAPK10,-0.11,0.45354,MaycoxFemale
MAPK15,0.13,0.67667,MaycoxFemale
MAPK13,0.03,0.84939,MaycoxFemale
MAPK12,-0.16,0.16304,MaycoxMale
MAPK4,-0.26,0.26837,MaycoxMale
MAPK11,-0.22,0.2668,MaycoxMale
MAPK14,0.08,0.46639,MaycoxMale
MAPK15,0.38,0.22473,MaycoxMale
MAPK3,-0.14,0.28671,MaycoxMale
MAPK8,0,0.51672,MaycoxMale
MAPK10,-0.02,0.45922,MaycoxMale
MAPK13,0.11,0.4474,MaycoxMale
MAPK7,0,0.46554,MaycoxMale
MAPK9,-0.07,0.62721,MaycoxMale
MAPK1,0.02,0.72786,MaycoxMale
MAPK6,-0.05,0.64841,MaycoxMale
MAPK4,0.65,0.16868,PietersenAllParvalbumin
MAPK14,0.24,0.2469,PietersenAllParvalbumin
MAPK9,0.71,0.26915,PietersenAllParvalbumin
MAPK3,0.52,0.41443,PietersenAllParvalbumin
MAPK10,-0.05,0.33584,PietersenAllParvalbumin
MAPK13,-1.04,0.22094,PietersenAllParvalbumin
MAPK11,0.02,0.53577,PietersenAllParvalbumin
MAPK1,-0.11,0.62984,PietersenAllParvalbumin
MAPK12,-0.29,0.58194,PietersenAllParvalbumin
MAPK15,0.17,0.66837,PietersenAllParvalbumin
MAPK8,-0.24,0.66134,PietersenAllParvalbumin
MAPK7,-0.34,0.60596,PietersenAllParvalbumin
MAPK6,-0.08,0.89894,PietersenAllParvalbumin
MAPK8,-0.45,0.29962,PietersenAllPyramidal
MAPK1,0.02,0.37042,PietersenAllPyramidal
MAPK14,0.34,0.43901,PietersenAllPyramidal
MAPK15,-0.38,0.39854,PietersenAllPyramidal
MAPK3,0.59,0.32058,PietersenAllPyramidal
MAPK12,0.5,0.36692,PietersenAllPyramidal
MAPK7,0.54,0.45015,PietersenAllPyramidal
MAPK4,-0.04,0.71717,PietersenAllPyramidal
MAPK10,-0.01,0.73679,PietersenAllPyramidal
MAPK13,-0.08,0.70024,PietersenAllPyramidal
MAPK6,-0.33,0.62116,PietersenAllPyramidal
MAPK11,0.12,0.79336,PietersenAllPyramidal
MAPK9,-0.09,0.78776,PietersenAllPyramidal
MAPK4,0.72,0.3626,PietersenFemaleParvalbumin
MAPK15,-0.46,0.2446,PietersenFemaleParvalbumin
MAPK8,-0.8,0.42846,PietersenFemaleParvalbumin
MAPK14,0.07,0.44049,PietersenFemaleParvalbumin
MAPK10,0.31,0.51007,PietersenFemaleParvalbumin
MAPK13,-1.07,0.28916,PietersenFemaleParvalbumin
MAPK9,0.62,0.51144,PietersenFemaleParvalbumin
MAPK1,0.04,0.65225,PietersenFemaleParvalbumin
MAPK11,-0.25,0.6894,PietersenFemaleParvalbumin
MAPK12,-0.5,0.58318,PietersenFemaleParvalbumin
MAPK3,0.38,0.70206,PietersenFemaleParvalbumin
MAPK7,0.45,0.64757,PietersenFemaleParvalbumin
MAPK6,0.32,0.73343,PietersenFemaleParvalbumin
MAPK1,0.2,0.35263,PietersenFemalePyramidal
MAPK14,0.6,0.3336,PietersenFemalePyramidal
MAPK8,-0.41,0.4588,PietersenFemalePyramidal
MAPK12,0.73,0.32797,PietersenFemalePyramidal
MAPK3,0.71,0.36841,PietersenFemalePyramidal
MAPK7,0.74,0.39413,PietersenFemalePyramidal
MAPK4,0.2,0.66743,PietersenFemalePyramidal
MAPK13,-0.48,0.66286,PietersenFemalePyramidal
MAPK9,-0.11,0.66282,PietersenFemalePyramidal
MAPK10,0.21,0.83249,PietersenFemalePyramidal
MAPK11,0.2,0.78447,PietersenFemalePyramidal
MAPK15,0.02,0.92433,PietersenFemalePyramidal
MAPK6,-0.05,0.95563,PietersenFemalePyramidal
MAPK4,0.58,0.29398,PietersenMaleParvalbumin
MAPK14,0.41,0.1729,PietersenMaleParvalbumin
MAPK8,0.32,0.41782,PietersenMaleParvalbumin
MAPK3,0.66,0.44014,PietersenMaleParvalbumin
MAPK15,0.81,0.31229,PietersenMaleParvalbumin
MAPK9,0.8,0.38702,PietersenMaleParvalbumin
MAPK11,0.29,0.61082,PietersenMaleParvalbumin
MAPK7,-1.13,0.25247000000000003,PietersenMaleParvalbumin
MAPK1,-0.26,0.5357,PietersenMaleParvalbumin
MAPK10,-0.41,0.46387,PietersenMaleParvalbumin
MAPK13,-1.01,0.44979,PietersenMaleParvalbumin
MAPK12,-0.62,0.58344,PietersenMaleParvalbumin
MAPK6,-0.49,0.63042,PietersenMaleParvalbumin
MAPK15,-0.87,0.13311,PietersenMalePyramidal
MAPK8,-0.51,0.37378,PietersenMalePyramidal
MAPK1,-0.21,0.65867,PietersenMalePyramidal
MAPK14,0.02,0.49775,PietersenMalePyramidal
MAPK4,-0.33,0.39776,PietersenMalePyramidal
MAPK10,-0.29,0.71395,PietersenMalePyramidal
MAPK13,0.43,0.6481,PietersenMalePyramidal
MAPK3,0.45,0.65388,PietersenMalePyramidal
MAPK6,-0.68,0.49976,PietersenMalePyramidal
MAPK12,0.38,0.68915,PietersenMalePyramidal
MAPK11,0.03,0.79976,PietersenMalePyramidal
MAPK7,0.29,0.79371,PietersenMalePyramidal
MAPK9,-0.06,0.91019,PietersenMalePyramidal
