HGNC_Symbol,Log2FC,P_Value,DataSet,drug
MAPK11,0.19,0.07945,ARI-1uM-6h (Readhead 2018),Aripiprazole
MAPK13,-0.14,0.20505,ARI-1uM-6h (Readhead 2018),Aripiprazole
MAPK7,0.07,0.37967,ARI-1uM-6h (Readhead 2018),Aripiprazole
MAPK1,0.08,0.3971,ARI-1uM-6h (Readhead 2018),Aripiprazole
MAPK6,-0.09,0.40231,ARI-1uM-6h (Readhead 2018),Aripiprazole
MAPK10,-0.05,0.51915,ARI-1uM-6h (Readhead 2018),Aripiprazole
MAPK14,0.31,0.00673,QUE-10uM-6h (Readhead 2018),Quetiapine
MAPK8,0.24,0.01175,QUE-10uM-6h (Readhead 2018),Quetiapine
MAPK9,0.3,0.01465,QUE-10uM-6h (Readhead 2018),Quetiapine
MAPK4,0.18,0.03778,QUE-10uM-6h (Readhead 2018),Quetiapine
MAPK11,0.14,0.03788,QUE-10uM-6h (Readhead 2018),Quetiapine
MAPK3,0.14,0.07435,QUE-10uM-6h (Readhead 2018),Quetiapine
MAPK1,0.16,0.11449,QUE-10uM-6h (Readhead 2018),Quetiapine
MAPK12,0.21,0.11549,QUE-10uM-6h (Readhead 2018),Quetiapine
MAPK7,0.07,0.38534,QUE-10uM-6h (Readhead 2018),Quetiapine
MAPK6,0.09,0.4138,QUE-10uM-6h (Readhead 2018),Quetiapine
MAPK13,0.03,0.78264,QUE-10uM-6h (Readhead 2018),Quetiapine
MAPK10,0.02,0.80307,QUE-10uM-6h (Readhead 2018),Quetiapine
MAPK9,-0.42,0.001,QUE-0.03uM-6h (Readhead 2018),Quetiapine
MAPK3,-0.26,0.00197,QUE-0.03uM-6h (Readhead 2018),Quetiapine
MAPK14,-0.33,0.00482,QUE-0.03uM-6h (Readhead 2018),Quetiapine
MAPK11,-0.3,0.00751,QUE-0.03uM-6h (Readhead 2018),Quetiapine
MAPK4,-0.16,0.01606,QUE-0.03uM-6h (Readhead 2018),Quetiapine
MAPK8,-0.24,0.01678,QUE-0.03uM-6h (Readhead 2018),Quetiapine
MAPK13,0.3,0.02434,QUE-0.03uM-6h (Readhead 2018),Quetiapine
MAPK1,-0.17,0.10281,QUE-0.03uM-6h (Readhead 2018),Quetiapine
MAPK12,-0.2,0.15572,QUE-0.03uM-6h (Readhead 2018),Quetiapine
MAPK6,-0.08,0.50928,QUE-0.03uM-6h (Readhead 2018),Quetiapine
MAPK7,0.07,0.57566,QUE-0.03uM-6h (Readhead 2018),Quetiapine
MAPK10,0.05,0.71032,QUE-0.03uM-6h (Readhead 2018),Quetiapine
MAPK9,-0.41,0.00137,RIS-0.03uM-6h (Readhead 2018),Risperidone
MAPK14,-0.32,0.0071,RIS-0.03uM-6h (Readhead 2018),Risperidone
MAPK11,-0.23,0.00916,RIS-0.03uM-6h (Readhead 2018),Risperidone
MAPK8,-0.25,0.012,RIS-0.03uM-6h (Readhead 2018),Risperidone
MAPK1,-0.26,0.01285,RIS-0.03uM-6h (Readhead 2018),Risperidone
MAPK3,-0.21,0.01397,RIS-0.03uM-6h (Readhead 2018),Risperidone
MAPK4,-0.21,0.02108,RIS-0.03uM-6h (Readhead 2018),Risperidone
MAPK13,0.26,0.0531,RIS-0.03uM-6h (Readhead 2018),Risperidone
MAPK6,-0.17,0.14061,RIS-0.03uM-6h (Readhead 2018),Risperidone
MAPK12,-0.19,0.16761,RIS-0.03uM-6h (Readhead 2018),Risperidone
MAPK7,0.07,0.5663,RIS-0.03uM-6h (Readhead 2018),Risperidone
MAPK10,0.06,0.6787,RIS-0.03uM-6h (Readhead 2018),Risperidone
MAPK14,-0.2,0.00276,ZIP-0.1uM-6h (Readhead 2018),Ziprasidone
MAPK4,0.24,0.00427,ZIP-0.1uM-6h (Readhead 2018),Ziprasidone
MAPK11,0.29,0.0079,ZIP-0.1uM-6h (Readhead 2018),Ziprasidone
MAPK3,0.22,0.008,ZIP-0.1uM-6h (Readhead 2018),Ziprasidone
MAPK9,0.32,0.00901,ZIP-0.1uM-6h (Readhead 2018),Ziprasidone
MAPK8,0.24,0.01101,ZIP-0.1uM-6h (Readhead 2018),Ziprasidone
MAPK12,0.34,0.012070000000000001,ZIP-0.1uM-6h (Readhead 2018),Ziprasidone
MAPK1,0.19,0.05123,ZIP-0.1uM-6h (Readhead 2018),Ziprasidone
MAPK13,-0.17,0.17478,ZIP-0.1uM-6h (Readhead 2018),Ziprasidone
MAPK6,0.14,0.20708,ZIP-0.1uM-6h (Readhead 2018),Ziprasidone
MAPK7,0.06,0.43137,ZIP-0.1uM-6h (Readhead 2018),Ziprasidone
MAPK10,0.03,0.81629,ZIP-0.1uM-6h (Readhead 2018),Ziprasidone
MAPK9,-0.42,9.1e-4,ZIP-0.03uM-6h (Readhead 2018),Ziprasidone
MAPK14,-0.31,0.00796,ZIP-0.03uM-6h (Readhead 2018),Ziprasidone
MAPK8,-0.22,0.02567,ZIP-0.03uM-6h (Readhead 2018),Ziprasidone
MAPK11,-0.23,0.03852,ZIP-0.03uM-6h (Readhead 2018),Ziprasidone
MAPK1,-0.2,0.05009,ZIP-0.03uM-6h (Readhead 2018),Ziprasidone
MAPK4,-0.14,0.10593,ZIP-0.03uM-6h (Readhead 2018),Ziprasidone
MAPK13,0.19,0.16401,ZIP-0.03uM-6h (Readhead 2018),Ziprasidone
MAPK12,-0.17,0.22699,ZIP-0.03uM-6h (Readhead 2018),Ziprasidone
MAPK3,-0.1,0.24697,ZIP-0.03uM-6h (Readhead 2018),Ziprasidone
MAPK7,0.11,0.36662,ZIP-0.03uM-6h (Readhead 2018),Ziprasidone
MAPK10,0.06,0.49088,ZIP-0.03uM-6h (Readhead 2018),Ziprasidone
MAPK6,-0.08,0.50835,ZIP-0.03uM-6h (Readhead 2018),Ziprasidone
MAPK7,-0.31,6.3e-4,HAL_3mgkg_30d (Kim 2018)_GSE677,Haloperidol
MAPK9,-0.24,0.05827,CLZ-1h (Korostynski 2013)_GSE48,Clozapine
MAPK8,0.2,0.16782,CLZ-1h (Korostynski 2013)_GSE48,Clozapine
MAPK7,0.31,0.02956,CLZ-1h (Korostynski 2013)_GSE48,Clozapine
MAPK6,0.16,0.41978,CLZ-1h (Korostynski 2013)_GSE48,Clozapine
MAPK4,0.1,0.64566,CLZ-1h (Korostynski 2013)_GSE48,Clozapine
MAPK3,-0.13,0.33489,CLZ-1h (Korostynski 2013)_GSE48,Clozapine
MAPK15,-0.18,0.24076,CLZ-1h (Korostynski 2013)_GSE48,Clozapine
MAPK14,-0.1,0.71863,CLZ-1h (Korostynski 2013)_GSE48,Clozapine
MAPK13,0.07,0.55876,CLZ-1h (Korostynski 2013)_GSE48,Clozapine
MAPK12,-0.08,0.56326,CLZ-1h (Korostynski 2013)_GSE48,Clozapine
MAPK11,-0.21,0.18821,CLZ-1h (Korostynski 2013)_GSE48,Clozapine
MAPK10,0.54,0.00731,CLZ-1h (Korostynski 2013)_GSE48,Clozapine
MAPK1,-0.17,0.21725,CLZ-1h (Korostynski 2013)_GSE48,Clozapine
MAPK9,-0.18,0.16957,CLZ-2h (Korostynski 2013),Clozapine
MAPK8,0.26,0.05336,CLZ-2h (Korostynski 2013),Clozapine
MAPK7,0.05,0.67593,CLZ-2h (Korostynski 2013),Clozapine
MAPK6,-0.25,0.26332,CLZ-2h (Korostynski 2013),Clozapine
MAPK4,0.02,0.91337,CLZ-2h (Korostynski 2013),Clozapine
MAPK3,0.24,0.06347,CLZ-2h (Korostynski 2013),Clozapine
MAPK15,-0.19,0.19378,CLZ-2h (Korostynski 2013),Clozapine
MAPK14,-0.07,0.71519,CLZ-2h (Korostynski 2013),Clozapine
MAPK13,-0.15,0.24208,CLZ-2h (Korostynski 2013),Clozapine
MAPK12,0.31,0.0432,CLZ-2h (Korostynski 2013),Clozapine
MAPK11,0.47,0.00637,CLZ-2h (Korostynski 2013),Clozapine
MAPK10,0.43,0.00993,CLZ-2h (Korostynski 2013),Clozapine
MAPK1,-0.23,0.06653,CLZ-2h (Korostynski 2013),Clozapine
MAPK9,0.22,0.08571,CL-4h (Korostynski 2013),Clozapine
MAPK8,0.3,0.03443,CL-4h (Korostynski 2013),Clozapine
MAPK7,0.1,0.33009,CL-4h (Korostynski 2013),Clozapine
MAPK6,0.3,0.24987,CL-4h (Korostynski 2013),Clozapine
MAPK4,-0.02,0.92642,CL-4h (Korostynski 2013),Clozapine
MAPK3,-0.3,0.06317,CL-4h (Korostynski 2013),Clozapine
MAPK15,0.14,0.38929,CL-4h (Korostynski 2013),Clozapine
MAPK14,0.03,0.91926,CL-4h (Korostynski 2013),Clozapine
MAPK13,0.27,0.04028,CL-4h (Korostynski 2013),Clozapine
MAPK12,0.26,0.0918,CL-4h (Korostynski 2013),Clozapine
MAPK11,-0.08,0.61314,CL-4h (Korostynski 2013),Clozapine
MAPK10,0.23,0.30814,CL-4h (Korostynski 2013),Clozapine
MAPK1,-0.2,0.17,CL-4h (Korostynski 2013),Clozapine
MAPK8,0.24,0.08015,CLZ-8h (Korostynski 2013),Clozapine
MAPK6,0.25,0.08399,CLZ-8h (Korostynski 2013),Clozapine
MAPK10,0.45,0.12616,CLZ-8h (Korostynski 2013),Clozapine
MAPK1,-0.2,0.17905,CLZ-8h (Korostynski 2013),Clozapine
MAPK3,-0.17,0.20946,CLZ-8h (Korostynski 2013),Clozapine
MAPK15,0.14,0.21216,CLZ-8h (Korostynski 2013),Clozapine
MAPK9,0.15,0.22066,CLZ-8h (Korostynski 2013),Clozapine
MAPK12,-0.15,0.22202,CLZ-8h (Korostynski 2013),Clozapine
MAPK14,0.08,0.67069,CLZ-8h (Korostynski 2013),Clozapine
MAPK7,0.04,0.74464,CLZ-8h (Korostynski 2013),Clozapine
MAPK11,0.05,0.75878,CLZ-8h (Korostynski 2013),Clozapine
MAPK4,-0.03,0.83499,CLZ-8h (Korostynski 2013),Clozapine
MAPK13,0.02,0.89853,CLZ-8h (Korostynski 2013),Clozapine
MAPK9,-0.15,0.30804,RIS-8h (Korostynski 2013),Risperidone
MAPK8,0.19,0.12799,RIS-8h (Korostynski 2013),Risperidone
MAPK7,0.17,0.19415,RIS-8h (Korostynski 2013),Risperidone
MAPK6,-0.17,0.39364,RIS-8h (Korostynski 2013),Risperidone
MAPK4,0.12,0.53554,RIS-8h (Korostynski 2013),Risperidone
MAPK3,-0.21,0.16838,RIS-8h (Korostynski 2013),Risperidone
MAPK15,0.14,0.23052,RIS-8h (Korostynski 2013),Risperidone
MAPK14,0.13,0.47888,RIS-8h (Korostynski 2013),Risperidone
MAPK13,0.1,0.47028,RIS-8h (Korostynski 2013),Risperidone
MAPK12,0.15,0.19716,RIS-8h (Korostynski 2013),Risperidone
MAPK11,-0.08,0.62848,RIS-8h (Korostynski 2013),Risperidone
MAPK10,0.57,0.05837,RIS-8h (Korostynski 2013),Risperidone
MAPK1,-0.15,0.29257,RIS-8h (Korostynski 2013),Risperidone
MAPK8,0.23,0.0805,RIS-4h (Korostynski 2013),Risperidone
MAPK9,-0.2,0.0897,RIS-4h (Korostynski 2013),Risperidone
MAPK12,0.22,0.133,RIS-4h (Korostynski 2013),Risperidone
MAPK7,0.14,0.216,RIS-4h (Korostynski 2013),Risperidone
MAPK6,0.17,0.264,RIS-4h (Korostynski 2013),Risperidone
MAPK13,0.14,0.31,RIS-4h (Korostynski 2013),Risperidone
MAPK14,-0.26,0.349,RIS-4h (Korostynski 2013),Risperidone
MAPK3,-0.14,0.412,RIS-4h (Korostynski 2013),Risperidone
MAPK10,-0.15,0.474,RIS-4h (Korostynski 2013),Risperidone
MAPK1,-0.17,0.485,RIS-4h (Korostynski 2013),Risperidone
MAPK15,0.12,0.486,RIS-4h (Korostynski 2013),Risperidone
MAPK11,-0.08,0.593,RIS-4h (Korostynski 2013),Risperidone
MAPK4,0.05,0.793,RIS-4h (Korostynski 2013),Risperidone
MAPK9,0.18,0.164,RIS-2h (Korostynski 2013),Risperidone
MAPK8,0.12,0.341,RIS-2h (Korostynski 2013),Risperidone
MAPK7,0.09,0.454,RIS-2h (Korostynski 2013),Risperidone
MAPK6,0.14,0.247,RIS-2h (Korostynski 2013),Risperidone
MAPK4,0.03,0.872,RIS-2h (Korostynski 2013),Risperidone
MAPK3,-0.1,0.387,RIS-2h (Korostynski 2013),Risperidone
MAPK15,0.2,0.194,RIS-2h (Korostynski 2013),Risperidone
MAPK14,0.04,0.845,RIS-2h (Korostynski 2013),Risperidone
MAPK13,0.13,0.3,RIS-2h (Korostynski 2013),Risperidone
MAPK12,0.24,0.103,RIS-2h (Korostynski 2013),Risperidone
MAPK11,0.22,0.12,RIS-2h (Korostynski 2013),Risperidone
MAPK10,0.63,0.0023,RIS-2h (Korostynski 2013),Risperidone
MAPK1,-0.23,0.179,RIS-2h (Korostynski 2013),Risperidone
MAPK10,0.68,9.1e-4,RIS-1h (Korostysnki 2013),Risperidone
MAPK9,0.27,0.02488,RIS-1h (Korostysnki 2013),Risperidone
MAPK1,-0.24,0.09869,RIS-1h (Korostysnki 2013),Risperidone
MAPK13,0.2,0.10777,RIS-1h (Korostysnki 2013),Risperidone
MAPK11,-0.25,0.18205,RIS-1h (Korostysnki 2013),Risperidone
MAPK8,0.11,0.30529,RIS-1h (Korostysnki 2013),Risperidone
MAPK7,0.14,0.31298,RIS-1h (Korostysnki 2013),Risperidone
MAPK6,0.17,0.42666,RIS-1h (Korostysnki 2013),Risperidone
MAPK3,-0.12,0.43694,RIS-1h (Korostysnki 2013),Risperidone
MAPK9,-0.15,0.03916,QUE_Str_100uM_GSE45229,Quetiapine
MAPK8,-0.22,0.12532,QUE_Str_100uM_GSE45229,Quetiapine
MAPK7,0.2,0.24207,QUE_Str_100uM_GSE45229,Quetiapine
MAPK6,-0.06,0.1309,QUE_Str_100uM_GSE45229,Quetiapine
MAPK4,0.22,0.28371,QUE_Str_100uM_GSE45229,Quetiapine
MAPK3,0.21,0.37715,QUE_Str_100uM_GSE45229,Quetiapine
MAPK14,-0.39,0.00252,QUE_Str_100uM_GSE45229,Quetiapine
MAPK13,-0.03,0.37317,QUE_Str_100uM_GSE45229,Quetiapine
MAPK12,1.08,0.0268,QUE_Str_100uM_GSE45229,Quetiapine
MAPK11,-0.05,0.19289,QUE_Str_100uM_GSE45229,Quetiapine
MAPK10,-0.05,0.33973,QUE_Str_100uM_GSE45229,Quetiapine
MAPK1,-0.29,0.01808,QUE_Str_100uM_GSE45229,Quetiapine
MAPK9,-0.22,0.00519,QUE_Str_10uM_GSE45229,Quetiapine
MAPK8,-0.68,9.8e-4,QUE_Str_10uM_GSE45229,Quetiapine
MAPK7,0.02,0.70389,QUE_Str_10uM_GSE45229,Quetiapine
MAPK6,-0.59,0.01371,QUE_Str_10uM_GSE45229,Quetiapine
MAPK4,-0.21,0.51636,QUE_Str_10uM_GSE45229,Quetiapine
MAPK3,-0.03,0.86288,QUE_Str_10uM_GSE45229,Quetiapine
MAPK15,0.03,0.30663,QUE_Str_10uM_GSE45229,Quetiapine
MAPK14,-0.33,0.01656,QUE_Str_10uM_GSE45229,Quetiapine
MAPK13,0.01,0.78645,QUE_Str_10uM_GSE45229,Quetiapine
MAPK12,0.56,0.04243,QUE_Str_10uM_GSE45229,Quetiapine
MAPK11,0.29,0.06924,QUE_Str_10uM_GSE45229,Quetiapine
MAPK10,0.31,0.02848,QUE_Str_10uM_GSE45229,Quetiapine
MAPK1,-0.14,0.01865,QUE_Str_10uM_GSE45229,Quetiapine
MAPK9,-0.16,0.45619,QUE_FrCTX_100uM_GSE45229,Quetiapine
MAPK8,0.25,0.01791,QUE_FrCTX_100uM_GSE45229,Quetiapine
MAPK7,0.41,0.04655,QUE_FrCTX_100uM_GSE45229,Quetiapine
MAPK6,0.1,0.29955,QUE_FrCTX_100uM_GSE45229,Quetiapine
MAPK4,0.35,0.28516,QUE_FrCTX_100uM_GSE45229,Quetiapine
MAPK3,0.07,0.63891,QUE_FrCTX_100uM_GSE45229,Quetiapine
MAPK15,-0.04,0.57256,QUE_FrCTX_100uM_GSE45229,Quetiapine
MAPK14,-0.06,0.41267,QUE_FrCTX_100uM_GSE45229,Quetiapine
MAPK13,0.01,0.85678,QUE_FrCTX_100uM_GSE45229,Quetiapine
MAPK12,0.35,0.07241,QUE_FrCTX_100uM_GSE45229,Quetiapine
MAPK11,-0.15,0.72545,QUE_FrCTX_100uM_GSE45229,Quetiapine
MAPK10,0.19,0.31016,QUE_FrCTX_100uM_GSE45229,Quetiapine
MAPK1,-0.07,0.4291,QUE_FrCTX_100uM_GSE45229,Quetiapine
MAPK9,0.12,0.50611,QUE_FrCTX_10uM_GSE45229,Quetiapine
MAPK8,0.35,0.0027,QUE_FrCTX_10uM_GSE45229,Quetiapine
MAPK7,0.12,0.33105,QUE_FrCTX_10uM_GSE45229,Quetiapine
MAPK6,0.14,0.32958,QUE_FrCTX_10uM_GSE45229,Quetiapine
MAPK3,-0.18,0.16269,QUE_FrCTX_10uM_GSE45229,Quetiapine
MAPK15,-0.08,0.17458,QUE_FrCTX_10uM_GSE45229,Quetiapine
MAPK14,0.42,0.02972,QUE_FrCTX_10uM_GSE45229,Quetiapine
MAPK13,-0.08,0.19386,QUE_FrCTX_10uM_GSE45229,Quetiapine
MAPK12,0.62,0.0192,QUE_FrCTX_10uM_GSE45229,Quetiapine
MAPK11,0.5,0.22867,QUE_FrCTX_10uM_GSE45229,Quetiapine
MAPK10,-0.08,0.30067,QUE_FrCTX_10uM_GSE45229,Quetiapine
MAPK1,-0.07,0.39036,QUE_FrCTX_10uM_GSE45229,Quetiapine
MAPK6,0.55,0.01388,HAL_FrCTX_1uM_GSE45229,Haloperidol
MAPK8,0.53,0.05016,HAL_FrCTX_1uM_GSE45229,Haloperidol
MAPK1,-0.15,0.10007,HAL_FrCTX_1uM_GSE45229,Haloperidol
MAPK12,0.32,0.13248,HAL_FrCTX_1uM_GSE45229,Haloperidol
MAPK7,0.25,0.20188,HAL_FrCTX_1uM_GSE45229,Haloperidol
MAPK11,0.52,0.21104,HAL_FrCTX_1uM_GSE45229,Haloperidol
MAPK3,-0.18,0.23077,HAL_FrCTX_1uM_GSE45229,Haloperidol
MAPK10,-0.11,0.23926,HAL_FrCTX_1uM_GSE45229,Haloperidol
MAPK4,0.32,0.24506,HAL_FrCTX_1uM_GSE45229,Haloperidol
MAPK14,0.17,0.30887,HAL_FrCTX_1uM_GSE45229,Haloperidol
MAPK13,-0.06,0.40527,HAL_FrCTX_1uM_GSE45229,Haloperidol
MAPK9,-0.04,0.74691,HAL_FrCTX_1uM_GSE45229,Haloperidol
MAPK15,-0.01,0.81967,HAL_FrCTX_1uM_GSE45229,Haloperidol
MAPK6,0.53,0.00518,HAL_FrCTX_0.3uM_GSE45229,Haloperidol
MAPK1,-0.19,0.04608,HAL_FrCTX_0.3uM_GSE45229,Haloperidol
MAPK8,-0.36,0.07357,HAL_FrCTX_0.3uM_GSE45229,Haloperidol
MAPK10,0.2,0.09066,HAL_FrCTX_0.3uM_GSE45229,Haloperidol
MAPK11,0.78,0.09167,HAL_FrCTX_0.3uM_GSE45229,Haloperidol
MAPK13,-0.11,0.13265,HAL_FrCTX_0.3uM_GSE45229,Haloperidol
MAPK14,0.17,0.14794,HAL_FrCTX_0.3uM_GSE45229,Haloperidol
MAPK3,-0.16,0.18293,HAL_FrCTX_0.3uM_GSE45229,Haloperidol
MAPK12,0.42,0.27186,HAL_FrCTX_0.3uM_GSE45229,Haloperidol
MAPK11,0.39,0.00149,HAL_Str_1uM_GSE45229,Haloperidol
MAPK8,-0.79,0.00862,HAL_Str_1uM_GSE45229,Haloperidol
MAPK1,-0.3,0.01011,HAL_Str_1uM_GSE45229,Haloperidol
MAPK14,0.19,0.08717,HAL_Str_1uM_GSE45229,Haloperidol
MAPK6,0.1,0.23713,HAL_Str_1uM_GSE45229,Haloperidol
MAPK7,0.04,0.24741,HAL_Str_1uM_GSE45229,Haloperidol
MAPK9,-0.16,0.27623,HAL_Str_1uM_GSE45229,Haloperidol
MAPK13,-0.02,0.52038,HAL_Str_1uM_GSE45229,Haloperidol
MAPK3,-0.09,0.56838,HAL_Str_1uM_GSE45229,Haloperidol
MAPK12,-0.01,0.60131,HAL_Str_1uM_GSE45229,Haloperidol
MAPK10,0.04,0.65773,HAL_Str_1uM_GSE45229,Haloperidol
MAPK4,0.04,0.90603,HAL_Str_1uM_GSE45229,Haloperidol
MAPK15,0,0.99647,HAL_Str_1uM_GSE45229,Haloperidol
MAPK8,-0.36,0.00483,HAL_Str_0.3uM_GSE45229,Haloperidol
MAPK9,-0.13,0.09329,HAL_Str_0.3uM_GSE45229,Haloperidol
MAPK6,0.16,0.0966,HAL_Str_0.3uM_GSE45229,Haloperidol
MAPK14,-0.24,0.12573,HAL_Str_0.3uM_GSE45229,Haloperidol
MAPK1,-0.13,0.14451,HAL_Str_0.3uM_GSE45229,Haloperidol
MAPK4,0.23,0.25347,HAL_Str_0.3uM_GSE45229,Haloperidol
MAPK10,-0.1,0.25506,HAL_Str_0.3uM_GSE45229,Haloperidol
MAPK11,-0.04,0.33067,HAL_Str_0.3uM_GSE45229,Haloperidol
MAPK11,-0.36,0.0205,CLZ 3mgkg 1hr 48955,Clozapine
MAPK1,0.25,0.1166,CLZ 3mgkg 1hr 48955,Clozapine
MAPK8,-0.17,0.142,CLZ 3mgkg 1hr 48955,Clozapine
MAPK6,-0.22,0.18138,CLZ 3mgkg 1hr 48955,Clozapine
MAPK12,0.18,0.28961,CLZ 3mgkg 1hr 48955,Clozapine
MAPK15,-0.16,0.30468,CLZ 3mgkg 1hr 48955,Clozapine
MAPK10,-0.12,0.45383,CLZ 3mgkg 1hr 48955,Clozapine
MAPK3,-0.1,0.45868,CLZ 3mgkg 1hr 48955,Clozapine
MAPK9,-0.09,0.52,CLZ 3mgkg 1hr 48955,Clozapine
MAPK7,0.07,0.52974,CLZ 3mgkg 1hr 48955,Clozapine
MAPK4,0.08,0.66856,CLZ 3mgkg 1hr 48955,Clozapine
MAPK14,-0.05,0.68079,CLZ 3mgkg 1hr 48955,Clozapine
MAPK13,0.03,0.77625,CLZ 3mgkg 1hr 48955,Clozapine
MAPK12,0.29,0.07887,RIS 0.5mgkg 1hr 48955,Risperidone
MAPK8,-0.18,0.16972,RIS 0.5mgkg 1hr 48955,Risperidone
MAPK15,-0.15,0.2367,RIS 0.5mgkg 1hr 48955,Risperidone
MAPK6,-0.21,0.24141,RIS 0.5mgkg 1hr 48955,Risperidone
MAPK11,-0.15,0.2911,RIS 0.5mgkg 1hr 48955,Risperidone
MAPK3,0.16,0.2934,RIS 0.5mgkg 1hr 48955,Risperidone
MAPK13,0.13,0.32005,RIS 0.5mgkg 1hr 48955,Risperidone
MAPK7,-0.1,0.44279,RIS 0.5mgkg 1hr 48955,Risperidone
MAPK14,-0.1,0.44629,RIS 0.5mgkg 1hr 48955,Risperidone
MAPK10,0.11,0.45893,RIS 0.5mgkg 1hr 48955,Risperidone
MAPK9,-0.08,0.49952,RIS 0.5mgkg 1hr 48955,Risperidone
MAPK1,-0.08,0.57217,RIS 0.5mgkg 1hr 48955,Risperidone
