Kinase,R1C1P1,R1C1P2,R1C2P3,R1C2P4,R1C3P5,R2C1P1,R2C1P2,R2C2P3,R2C2P4,R2C3P5,R2C3P6,R3C1P1,R3C1P2,R3C2P3,R3C2P4,R3C3P5,R3C3P6,R4C1P1,R4C1P2
HGK/ZC1,1,1,1,3,1,2,1,1,4,3,1,3,2,1,1,2,4,4,3
AurA/Aur2,1,2,2,1,2,3,4,1,2,1,4,1,3,4,1,4,2,1,1
CDK2,1,2,3,2,4,2,2,4,4,1,1,4,4,3,3,1,4,4,4
PKG2,1,3,1,1,1,4,1,2,1,3,4,1,1,1,3,1,1,3,2
PKC[delta],1,3,3,2,1,4,1,3,1,3,3,1,1,1,4,2,1,1,1
IKK[epsilon],2,2,2,4,1,3,3,2,4,3,2,3,3,4,2,3,3,3,3
RSKL2,2,1,2,3,2,4,1,3,4,100,100,2,2,1,1,1,1,4,3
MAPKAPK3,2,4,1,4,2,2,3,1,3,2,4,3,4,4,4,4,2,1,1
PKN1/PRK1,2,3,4,2,3,3,4,2,2,4,2,3,2,1,3,4,2,1,4
PRKY,2,4,2,3,1,4,1,2,3,2,3,4,2,1,2,2,4,4,4
PKC[theta],2,1,3,4,2,3,2,4,1,3,3,1,1,1,2,4,1,1,1
CDKL5,2,2,4,4,4,3,4,2,3,3,4,3,3,2,3,4,3,4,4
TBK1,2,3,4,4,3,2,3,1,4,1,4,3,2,4,1,2,2,3,3
JNK1,2,4,3,2,3,2,2,4,3,1,1,4,3,4,1,1,4,2,3
MSK2,2,3,4,3,100,100,100,100,100,100,100,2,3,100,100,100,100,100,100
RSK2,2,3,4,3,2,2,4,1,2,4,3,3,1,1,4,4,2,2,2
JNK3,2,4,3,2,3,2,2,4,3,1,1,4,3,4,1,1,4,2,3
ICK,2,4,100,100,100,1,3,3,4,100,100,3,4,4,3,100,100,100,100
PKC[iota],2,4,2,2,1,3,2,1,2,4,2,2,2,1,3,3,2,2,2
DAPK3,2,2,1,2,3,1,1,2,1,2,4,1,4,3,4,3,3,2,3
ROCK1,2,4,4,2,4,4,4,3,2,2,4,2,3,3,3,2,1,3,4
Akt2/PKB[beta],2,3,1,2,1,1,1,3,1,3,2,2,2,1,1,2,2,1,1
MAPK14,2,1,4,2,3,2,3,3,4,1,1,4,4,4,2,2,4,4,4
CDK11,2,4,3,1,3,3,2,4,2,1,1,4,3,2,2,4,3,4,3
CaMK2[alpha],2,4,3,1,3,100,100,3,3,100,100,3,1,1,1,4,2,100,100
JNK2,2,4,3,4,2,1,3,4,3,2,1,4,4,4,2,2,3,1,3
CK1[delta],2,2,100,100,2,4,2,100,100,100,100,4,2,3,2,1,3,100,100
CDK7,2,1,3,2,4,4,2,2,3,2,2,3,4,2,2,3,3,4,3
CDK6,2,2,3,1,4,2,2,3,1,2,2,3,2,2,3,4,2,3,2
PDHK1,2,1,100,100,100,100,100,100,100,100,100,4,3,3,4,1,3,100,100
p70S6K[beta],2,4,1,1,1,2,2,3,1,3,3,2,1,3,2,2,1,2,3
RSKL1,3,4,4,2,3,3,1,2,3,2,3,2,1,4,4,1,3,100,100
ROCK2,3,4,3,1,3,4,4,2,1,1,2,2,1,1,1,2,1,4,2
ADCK3,3,1,3,1,3,1,4,1,2,4,4,1,2,2,2,3,1,3,2
p70S6K,3,4,3,2,1,4,1,4,4,3,4,1,2,2,2,3,4,2,4
CaMK4,3,2,1,3,1,1,3,3,1,2,3,2,2,1,3,4,1,1,1
Pim2,3,1,1,3,1,2,4,1,1,3,4,1,1,3,2,2,2,3,1
CDK10,3,3,2,3,2,1,1,3,2,3,4,2,1,1,4,2,2,3,1
GSK3[alpha],3,4,4,4,2,1,2,4,4,100,100,4,2,3,4,4,3,100,100
PRKX,3,2,1,1,1,3,1,2,3,3,3,2,1,2,3,3,1,1,3
NuaK1,3,3,1,1,2,1,4,2,2,4,4,1,2,2,4,3,1,2,2
PDK1,3,1,100,100,100,100,100,100,100,100,100,2,3,100,100,1,1,100,100
SGK1,3,3,3,4,1,2,1,4,3,100,100,2,2,1,3,1,3,100,100
GSK3[beta],3,1,4,4,2,1,2,4,4,100,100,4,2,1,3,1,3,100,100
ATR,3,2,2,1,4,2,3,4,4,3,2,2,4,4,2,1,4,2,4
PKC[eta],3,1,2,3,1,4,1,3,1,4,3,1,1,1,3,2,1,2,1
CDK4,3,2,3,1,3,1,4,4,2,3,2,3,3,2,2,2,3,3,2
Akt1/PKB[alpha],3,2,1,1,1,1,1,2,1,2,2,2,1,1,3,1,1,1,1
MSK1,3,2,4,4,3,2,4,1,2,4,3,1,2,1,1,4,3,2,2
ERK7,3,4,1,4,3,2,4,100,100,100,100,4,3,4,2,3,4,4,4
DAPK2,3,4,4,3,1,1,1,2,2,100,100,4,2,3,2,4,2,100,100
CDC2/CDK1,3,4,4,1,4,4,3,3,4,3,1,4,4,3,2,3,4,4,4
CK1[epsilon],3,3,1,1,2,3,2,4,2,2,4,3,2,4,3,1,2,1,2
PKC[epsilon],3,2,3,3,2,4,2,2,1,4,3,1,1,1,2,3,1,2,1
MAPKAPK2,3,3,2,2,3,1,4,1,3,2,3,3,4,3,2,4,2,3,1
DYRK1A,3,2,2,2,4,2,4,100,100,100,100,3,4,4,1,2,3,1,3
SgK307,4,2,4,2,3,2,3,4,3,3,4,3,4,4,3,1,4,100,100
CK1[alpha],4,4,3,1,4,3,4,3,4,3,3,3,4,4,4,1,4,3,3
PKA[alpha],4,3,2,1,1,3,1,2,1,3,1,1,1,1,4,2,1,2,2
PKC[beta],4,2,2,3,1,3,2,2,1,1,2,1,1,2,4,1,3,2,2
PKC[alpha],4,1,2,1,2,1,4,4,1,4,3,1,1,2,3,3,1,1,1
mTOR/FRAP,4,1,1,3,2,2,2,2,2,4,1,2,3,4,1,4,2,2,3
CDK3,4,2,3,2,3,2,4,3,3,2,2,4,3,3,3,1,4,3,2
AurB/Aur1,4,1,3,2,2,3,3,2,2,1,3,2,3,3,2,2,4,3,4
Pim1,4,1,1,4,1,1,4,1,1,1,4,1,1,1,2,3,1,3,1
CHK1,4,1,4,3,2,3,1,4,4,1,1,3,3,3,4,3,4,1,4
PKC[gamma],4,4,2,3,1,4,2,4,1,4,4,1,1,2,4,3,1,1,1
CHK2,4,2,2,3,3,1,4,3,2,1,4,2,2,3,4,1,1,1,2
CDKL1,4,4,1,4,3,4,1,4,2,2,1,2,4,2,4,4,3,2,3
CDKL3,4,1,100,100,100,100,100,100,100,100,100,4,3,100,100,3,3,100,100
PKC[zeta],4,1,2,2,1,3,2,4,1,1,2,1,1,2,3,4,2,2,1
SGK2,4,3,3,2,1,3,1,3,3,3,2,3,1,1,3,3,2,2,4
Pim3,4,1,1,4,1,1,4,1,1,2,4,1,1,2,2,3,1,3,1
AMPK[alpha]1,4,3,1,1,2,2,1,2,1,2,2,1,1,2,4,1,1,2,2
DCAMKL1,4,2,4,3,100,1,1,4,4,100,100,3,2,2,2,100,100,100,100
CDK5,4,4,4,1,4,4,4,3,4,4,1,4,4,4,2,1,3,4,3
CDK9,4,3,3,1,4,4,3,1,3,2,2,3,3,3,1,3,2,4,2
PCTAIRE2,4,3,2,3,4,1,3,3,1,2,4,1,3,2,3,1,1,1,2
TNIK/ZC2,4,4,1,3,3,4,1,4,4,100,100,3,4,1,1,4,4,4,3
COT,4,3,4,4,4,3,4,4,4,4,3,4,4,2,4,3,3,1,1
DAPK1,4,1,2,3,2,2,3,100,100,100,100,2,4,2,1,2,1,4,4
