Peptide,Source
TOP2A_1463_1475,JNK1
KCNA6_504_516,JNK1
KAPCG_192_206,JNK1
AKT1_301_313,JNK1
ADDB_696_708,JNK1
CDN1A_139_151,JNK1
VASP_271_283,JNK1
VASP_232_244,JNK1
GPSM2_394_406,JNK1
KCC2G_278_289,JNK1
PTK6_436_448,JNK1
CAC1C_1974_1986,JNK1
MYPC3_268_280,JNK1
NTRK3_824_836,JNK1
BAD_112_124,JNK1
KIF2C_105_118_S106G,JNK1
STK6_283_295,JNK2
GSUB_61_73,JNK2
ESR1_160_172,JNK2
VTNC_390_402,JNK2
CSF1R_701_713,JNK2
ADRB2_338_350,JNK2
ANDR_785_797,JNK2
TOP2A_1463_1475,JNK2
CFTR_761_773,JNK2
KAP2_92_104,JNK2
NCF1_296_308,JNK2
KCNA2_442_454,JNK2
KCNA6_504_516,JNK2
LMNB1_16_28,JNK2
KAPCG_192_206,JNK2
CD27_212_224,JNK2
NOS3_1171_1183,JNK2
KAP3_107_119,JNK2
CDN1A_139_151,JNK2
VASP_271_283,JNK2
RS6_228_240,JNK2
PTN12_32_44,JNK2
RBL2_655_667,JNK2
GRIK2_708_720,JNK2
KCC2G_278_289,JNK2
PTK6_436_448,JNK2
NTRK3_824_836,JNK2
F263_454_466,JNK2
H32_3_18,JNK2
BAD_112_124,JNK2
BAD_69_81,JNK2
BAD_93_105,JNK2
KIF2C_105_118_S106G,JNK2
STK6_283_295,JNK3
MYC_51_63,JNK3
ESR1_160_172,JNK3
RAF1_253_265,JNK3
P53_12_24,JNK3
RB_350_362,JNK3
CSF1R_701_713,JNK3
TOP2A_1463_1475,JNK3
CFTR_761_773,JNK3
CREB1_126_138,JNK3
KCNA2_442_454,JNK3
NFKB1_330_342,JNK3
LMNB1_16_28,JNK3
KAPCG_192_206,JNK3
CDN1A_139_151,JNK3
FRAP_2443_2455,JNK3
YAP1_121_133,JNK3
VASP_271_283,JNK3
RAP1B_172_184,JNK3
PP2AB_297_309,JNK3
SCN7A_898_910,JNK3
PTN12_32_44,JNK3
RBL2_655_667,JNK3
KCC2G_278_289,JNK3
PTK6_436_448,JNK3
CAC1C_1974_1986,JNK3
MYPC3_268_280,JNK3
BAD_93_105,JNK3
KIF2C_105_118_S106G,JNK3
BCKD_45_57,P38A
STK6_283_295,P38A
GSUB_61_73,P38A
ESR1_160_172,P38A
RB_803_815,P38A
RB_242_254,P38A
RB_774_786,P38A
RB_350_362,P38A
CSF1R_701_713,P38A
ADRB2_338_350,P38A
TOP2A_1463_1475,P38A
CFTR_761_773,P38A
KAP2_92_104,P38A
EPB42_241_253,P38A
RYR1_4317_4329,P38A
KAPCG_192_206,P38A
NOS3_1171_1183,P38A
MARCS_152_164,P38A
MARCS_160_172,P38A
KAP3_107_119,P38A
ADDB_706_718,P38A
ADDB_696_708,P38A
CDN1A_139_151,P38A
VASP_271_283,P38A
NEK3_158_170,P38A
PTN12_32_44,P38A
RBL2_655_667,P38A
GRIK2_708_720,P38A
KCC2G_278_289,P38A
PTK6_436_448,P38A
H32_3_18,P38A
BAD_112_124,P38A
BAD_69_81,P38A
BAD_93_105,P38A
KIF2C_105_118_S106G,P38A
BCKD_45_57,P38B
STK6_283_295,P38B
GSUB_61_73,P38B
CGHB_109_121,P38B
ESR1_160_172,P38B
RAF1_253_265,P38B
P53_308_323,P38B
RB_242_254,P38B
RB_803_815,P38B
RB_774_786,P38B
CDC2_154_169,P38B
CSF1R_701_713,P38B
TOP2A_1463_1475,P38B
CFTR_761_773,P38B
EPB42_241_253,P38B
RYR1_4317_4329,P38B
KAPCG_192_206,P38B
NOS3_1171_1183,P38B
MARCS_152_164,P38B
MARCS_160_172,P38B
KAP3_107_119,P38B
ADDB_696_708,P38B
FRAP_2443_2455,P38B
NEK3_158_170,P38B
PTN12_32_44,P38B
RBL2_655_667,P38B
GRIK2_708_720,P38B
KCC2G_278_289,P38B
PTK6_436_448,P38B
H32_3_18,P38B
KIF2C_105_118_S106G,P38B
BCKD_45_57,P38G
CGHB_109_121,P38G
MBP_222_234,P38G
ESR1_160_172,P38G
RAF1_253_265,P38G
P53_12_24,P38G
RB_242_254,P38G
RB_803_815,P38G
CSF1R_701_713,P38G
TOP2A_1463_1475,P38G
CFTR_761_773,P38G
KCNA2_442_454,P38G
EPB42_241_253,P38G
RYR1_4317_4329,P38G
KCNA3_461_473,P38G
MARCS_152_164,P38G
MARCS_160_172,P38G
KAP3_107_119,P38G
CDN1A_139_151,P38G
YAP1_121_133,P38G
VASP_271_283,P38G
NEK3_158_170,P38G
PTN12_32_44,P38G
RBL2_655_667,P38G
GRIK2_708_720,P38G
KCC2G_278_289,P38G
PTK6_436_448,P38G
F263_454_466,P38G
KIF2C_105_118_S106G,P38G
FRAP_2443_2455,SGK1
GBRB2_427_439,SGK1
GRIK2_708_720,SGK1
KCNA2_442_454,SGK1
KCNA3_461_473,SGK1
KCNA6_504_516,SGK1
NCF1_296_308,SGK1
PTK6_436_448,SGK1
RS6_228_240,SGK1
RYR1_4317_4329,SGK1
VASP_271_283,SGK1
