ENTREZID,L1000,SYMBOL,ALIAS
57048,PLSCR3,PLSCR3,PLSCR3
22905,EPN2,EPN2,EHB21
22905,EPN2,EPN2,EPN2
351,APP,APP,AAA
351,APP,APP,ABETA
351,APP,APP,ABPP
351,APP,APP,AD1
351,APP,APP,APPI
351,APP,APP,CTFgamma
351,APP,APP,CVAP
351,APP,APP,PN-II
351,APP,APP,PN2
351,APP,APP,preA4
351,APP,APP,APP
6597,SMARCA4,SMARCA4,BAF190
6597,SMARCA4,SMARCA4,BAF190A
6597,SMARCA4,SMARCA4,BRG1
6597,SMARCA4,SMARCA4,CSS4
6597,SMARCA4,SMARCA4,MRD16
6597,SMARCA4,SMARCA4,RTPS2
6597,SMARCA4,SMARCA4,SNF2
6597,SMARCA4,SMARCA4,SNF2-beta
6597,SMARCA4,SMARCA4,SNF2L4
6597,SMARCA4,SMARCA4,SNF2LB
6597,SMARCA4,SMARCA4,SWI2
6597,SMARCA4,SMARCA4,hSNF2b
6597,SMARCA4,SMARCA4,SMARCA4
29928,TIMM22,TIMM22,COXPD43
29928,TIMM22,TIMM22,TEX4
29928,TIMM22,TIMM22,TIM22
29928,TIMM22,TIMM22,TIMM22
7077,TIMP2,TIMP2,CSC-21K
7077,TIMP2,TIMP2,DDC8
7077,TIMP2,TIMP2,TIMP2
23659,PLA2G15,PLA2G15,ACS
23659,PLA2G15,PLA2G15,GXVPLA2
23659,PLA2G15,PLA2G15,LLPL
23659,PLA2G15,PLA2G15,LPLA2
23659,PLA2G15,PLA2G15,LYPLA3
23659,PLA2G15,PLA2G15,PLA2G15
6119,RPA3,RPA3,REPA3
6119,RPA3,RPA3,RP-A p14
6119,RPA3,RPA3,RPA3
2063,NR2F6,NR2F6,EAR-2
2063,NR2F6,NR2F6,EAR2
2063,NR2F6,NR2F6,ERBAL2
2063,NR2F6,NR2F6,NR2F6
54915,YTHDF1,YTHDF1,C20orf21
54915,YTHDF1,YTHDF1,YTHDF1
23368,PPP1R13B,PPP1R13B,ASPP1
23368,PPP1R13B,PPP1R13B,p53BP2-like
23368,PPP1R13B,PPP1R13B,p85
23368,PPP1R13B,PPP1R13B,PPP1R13B
55958,KLHL9,KLHL9,KLHL9
91949,COG7,COG7,CDG2E
91949,COG7,COG7,COG7
26520,TIMM9,TIMM9,TIM9
26520,TIMM9,TIMM9,TIM9A
26520,TIMM9,TIMM9,TIMM9
9653,HS2ST1,HS2ST1,dJ604K5.2
9653,HS2ST1,HS2ST1,HS2ST1
8349,HIST2H2BE,H2BC21,GL105
8349,HIST2H2BE,H2BC21,H2B
8349,HIST2H2BE,H2BC21,H2B.1
8349,HIST2H2BE,H2BC21,H2BE
8349,HIST2H2BE,H2BC21,H2BFQ
8349,HIST2H2BE,H2BC21,H2BGL105
8349,HIST2H2BE,H2BC21,H2BQ
8349,HIST2H2BE,H2BC21,HIST2H2BE
8349,HIST2H2BE,H2BC21,H2BC21
51026,GOLT1B,GOLT1B,CGI-141
51026,GOLT1B,GOLT1B,GCT2
51026,GOLT1B,GOLT1B,GOT1
51026,GOLT1B,GOLT1B,GOT1B
51026,GOLT1B,GOLT1B,YMR292W
51026,GOLT1B,GOLT1B,GOLT1B
3033,HADH,HADH,HAD
3033,HADH,HADH,HADH1
3033,HADH,HADH,HADHSC
3033,HADH,HADH,HCDH
3033,HADH,HADH,HHF4
3033,HADH,HADH,MSCHAD
3033,HADH,HADH,SCHAD
3033,HADH,HADH,HADH
23635,SSBP2,SSBP2,HSPC116
23635,SSBP2,SSBP2,SOSS-B2
23635,SSBP2,SSBP2,SSBP2
51160,VPS28,VPS28,VPS28
6184,RPN1,RPN1,OST1
6184,RPN1,RPN1,RBPH1
6184,RPN1,RPN1,RPN1
23139,MAST2,MAST2,MAST205
23139,MAST2,MAST2,MTSSK
23139,MAST2,MAST2,MAST2
7485,WRB,GET1,CHD5
7485,WRB,GET1,WRB
7485,WRB,GET1,GET1
6832,SUPV3L1,SUPV3L1,SUV3
6832,SUPV3L1,SUPV3L1,SUPV3L1
4836,NMT1,NMT1,NMT
4836,NMT1,NMT1,NMT1
890,CCNA2,CCNA2,CCN1
890,CCNA2,CCNA2,CCNA
890,CCNA2,CCNA2,CCNA2
8503,PIK3R3,PIK3R3,p55
8503,PIK3R3,PIK3R3,p55-GAMMA
8503,PIK3R3,PIK3R3,p55PIK
8503,PIK3R3,PIK3R3,PIK3R3
25,ABL1,ABL1,ABL
25,ABL1,ABL1,BCR-ABL
25,ABL1,ABL1,CHDSKM
25,ABL1,ABL1,JTK7
25,ABL1,ABL1,bcr/abl
25,ABL1,ABL1,c-ABL
25,ABL1,ABL1,c-ABL1
25,ABL1,ABL1,p150
25,ABL1,ABL1,v-abl
25,ABL1,ABL1,ABL1
11073,TOPBP1,TOPBP1,Dpb11
11073,TOPBP1,TOPBP1,TOP2BP1
11073,TOPBP1,TOPBP1,TOPBP1
3454,IFNAR1,IFNAR1,AVP
3454,IFNAR1,IFNAR1,IFN-alpha-REC
3454,IFNAR1,IFNAR1,IFNAR
3454,IFNAR1,IFNAR1,IFNBR
3454,IFNAR1,IFNAR1,IFRC
3454,IFNAR1,IFNAR1,IFNAR1
991,CDC20,CDC20,CDC20A
991,CDC20,CDC20,bA276H19.3
991,CDC20,CDC20,p55CDC
991,CDC20,CDC20,CDC20
4232,MEST,MEST,PEG1
4232,MEST,MEST,MEST
23658,LSM5,LSM5,YER146W
23658,LSM5,LSM5,LSM5
1019,CDK4,CDK4,CMM3
1019,CDK4,CDK4,PSK-J3
1019,CDK4,CDK4,CDK4
6275,S100A4,S100A4,18A2
6275,S100A4,S100A4,42A
6275,S100A4,S100A4,CAPL
6275,S100A4,S100A4,FSP1
6275,S100A4,S100A4,MTS1
6275,S100A4,S100A4,P9KA
6275,S100A4,S100A4,PEL98
6275,S100A4,S100A4,S100A4
10652,YKT6,YKT6,YKT6
3108,HLA-DMA,HLA-DMA,D6S222E
3108,HLA-DMA,HLA-DMA,DMA
3108,HLA-DMA,HLA-DMA,HLADM
3108,HLA-DMA,HLA-DMA,RING6
3108,HLA-DMA,HLA-DMA,HLA-DMA
5261,PHKG2,PHKG2,GSD9C
5261,PHKG2,PHKG2,PHKG2
5467,PPARD,PPARD,FAAR
5467,PPARD,PPARD,NR1C2
5467,PPARD,PPARD,NUC1
5467,PPARD,PPARD,NUCI
5467,PPARD,PPARD,NUCII
5467,PPARD,PPARD,PPARB
5467,PPARD,PPARD,PPARD
9093,DNAJA3,DNAJA3,HCA57
9093,DNAJA3,DNAJA3,TID1
9093,DNAJA3,DNAJA3,hTID-1
9093,DNAJA3,DNAJA3,DNAJA3
836,CASP3,CASP3,CPP32
836,CASP3,CASP3,CPP32B
836,CASP3,CASP3,SCA-1
836,CASP3,CASP3,CASP3
53343,NUDT9,NUDT9,NUDT10
53343,NUDT9,NUDT9,NUDT9
1509,CTSD,CTSD,CLN10
1509,CTSD,CTSD,CPSD
1509,CTSD,CTSD,HEL-S-130P
1509,CTSD,CTSD,CTSD
23670,TMEM2,CEMIP2,TMEM2
23670,TMEM2,CEMIP2,CEMIP2
23038,WDTC1,WDTC1,ADP
23038,WDTC1,WDTC1,DCAF9
23038,WDTC1,WDTC1,WDTC1
5891,MOK,MOK,RAGE
5891,MOK,MOK,RAGE-1
5891,MOK,MOK,RAGE1
5891,MOK,MOK,STK30
5891,MOK,MOK,MOK
55837,EAPP,EAPP,BM036
55837,EAPP,EAPP,C14orf11
55837,EAPP,EAPP,EAPP
2184,FAH,FAH,FAH
9703,KIAA0100,KIAA0100,BCOX
9703,KIAA0100,KIAA0100,BCOX1
9703,KIAA0100,KIAA0100,CT101
9703,KIAA0100,KIAA0100,FMP27
9703,KIAA0100,KIAA0100,KIAA0100
1070,CETN3,CETN3,CDC31
1070,CETN3,CETN3,CEN3
1070,CETN3,CETN3,CETN3
3157,HMGCS1,HMGCS1,HMGCS
3157,HMGCS1,HMGCS1,HMGCS1
998,CDC42,CDC42,CDC42Hs
998,CDC42,CDC42,G25K
998,CDC42,CDC42,TKS
998,CDC42,CDC42,CDC42
2745,GLRX,GLRX,GRX
2745,GLRX,GLRX,GRX1
2745,GLRX,GLRX,GLRX
10227,MFSD10,MFSD10,TETRAN
10227,MFSD10,MFSD10,TETTRAN
10227,MFSD10,MFSD10,MFSD10
11044,PAPD7,TENT4A,LAK-1
11044,PAPD7,TENT4A,LAK1
11044,PAPD7,TENT4A,PAPD7
11044,PAPD7,TENT4A,POLK
11044,PAPD7,TENT4A,POLS
11044,PAPD7,TENT4A,TRF4
11044,PAPD7,TENT4A,TRF4-1
11044,PAPD7,TENT4A,TRF41
11044,PAPD7,TENT4A,TUTASE5
11044,PAPD7,TENT4A,TENT4A
58497,PRUNE,PRUNE1,DRES-17
58497,PRUNE,PRUNE1,DRES17
58497,PRUNE,PRUNE1,H-PRUNE
58497,PRUNE,PRUNE1,HTCD37
58497,PRUNE,PRUNE1,NMIHBA
58497,PRUNE,PRUNE1,PRUNE
58497,PRUNE,PRUNE1,PRUNE1
7105,TSPAN6,TSPAN6,T245
7105,TSPAN6,TSPAN6,TM4SF6
7105,TSPAN6,TSPAN6,TSPAN-6
7105,TSPAN6,TSPAN6,TSPAN6
10606,PAICS,PAICS,ADE2
10606,PAICS,PAICS,ADE2H1
10606,PAICS,PAICS,AIRC
10606,PAICS,PAICS,PAIS
10606,PAICS,PAICS,PAICS
29083,GTPBP8,GTPBP8,HSPC135
29083,GTPBP8,GTPBP8,GTPBP8
7043,TGFB3,TGFB3,ARVD
7043,TGFB3,TGFB3,ARVD1
7043,TGFB3,TGFB3,LDS5
7043,TGFB3,TGFB3,RNHF
7043,TGFB3,TGFB3,TGF-beta3
7043,TGFB3,TGFB3,TGFB3
310,ANXA7,ANXA7,ANX7
310,ANXA7,ANXA7,SNX
310,ANXA7,ANXA7,SYNEXIN
310,ANXA7,ANXA7,ANXA7
51422,PRKAG2,PRKAG2,AAKG
51422,PRKAG2,PRKAG2,AAKG2
51422,PRKAG2,PRKAG2,CMH6
51422,PRKAG2,PRKAG2,H91620p
51422,PRKAG2,PRKAG2,WPWS
51422,PRKAG2,PRKAG2,PRKAG2
57192,MCOLN1,MCOLN1,MG-2
57192,MCOLN1,MCOLN1,ML1
57192,MCOLN1,MCOLN1,ML4
57192,MCOLN1,MCOLN1,MLIV
57192,MCOLN1,MCOLN1,MST080
57192,MCOLN1,MCOLN1,MSTP080
57192,MCOLN1,MCOLN1,TRP-ML1
57192,MCOLN1,MCOLN1,TRPM-L1
57192,MCOLN1,MCOLN1,TRPML1
57192,MCOLN1,MCOLN1,MCOLN1
6390,SDHB,SDHB,CWS2
6390,SDHB,SDHB,IP
6390,SDHB,SDHB,PGL4
6390,SDHB,SDHB,SDH
6390,SDHB,SDHB,SDH1
6390,SDHB,SDHB,SDH2
6390,SDHB,SDHB,SDHIP
6390,SDHB,SDHB,SDHB
3964,LGALS8,LGALS8,Gal-8
3964,LGALS8,LGALS8,PCTA-1
3964,LGALS8,LGALS8,PCTA1
3964,LGALS8,LGALS8,Po66-CBP
3964,LGALS8,LGALS8,LGALS8
2852,GPER1,GPER1,CEPR
2852,GPER1,GPER1,CMKRL2
2852,GPER1,GPER1,DRY12
2852,GPER1,GPER1,FEG-1
2852,GPER1,GPER1,GPCR-Br
2852,GPER1,GPER1,GPER
2852,GPER1,GPER1,GPR30
2852,GPER1,GPER1,LERGU
2852,GPER1,GPER1,LERGU2
2852,GPER1,GPER1,LyGPR
2852,GPER1,GPER1,mER
2852,GPER1,GPER1,GPER1
26292,MYCBP,MYCBP,AMY-1
26292,MYCBP,MYCBP,MYCBP
6509,SLC1A4,SLC1A4,ASCT1
6509,SLC1A4,SLC1A4,SATT
6509,SLC1A4,SLC1A4,SPATCCM
6509,SLC1A4,SLC1A4,SLC1A4
2673,GFPT1,GFPT1,CMS12
2673,GFPT1,GFPT1,CMSTA1
2673,GFPT1,GFPT1,GFA
2673,GFPT1,GFPT1,GFAT
2673,GFPT1,GFPT1,GFAT 1
2673,GFPT1,GFPT1,GFAT1
2673,GFPT1,GFPT1,GFAT1m
2673,GFPT1,GFPT1,GFPT
2673,GFPT1,GFPT1,GFPT1L
2673,GFPT1,GFPT1,MSLG
2673,GFPT1,GFPT1,GFPT1
5927,KDM5A,KDM5A,RBBP-2
5927,KDM5A,KDM5A,RBBP2
5927,KDM5A,KDM5A,RBP2
5927,KDM5A,KDM5A,KDM5A
4851,NOTCH1,NOTCH1,AOS5
4851,NOTCH1,NOTCH1,AOVD1
4851,NOTCH1,NOTCH1,TAN1
4851,NOTCH1,NOTCH1,hN1
4851,NOTCH1,NOTCH1,NOTCH1
51056,LAP3,LAP3,HEL-S-106
51056,LAP3,LAP3,LAP
51056,LAP3,LAP3,LAPEP
51056,LAP3,LAP3,PEPS
51056,LAP3,LAP3,LAP3
8869,ST3GAL5,ST3GAL5,SATI
8869,ST3GAL5,ST3GAL5,SIAT9
8869,ST3GAL5,ST3GAL5,SIATGM3S
8869,ST3GAL5,ST3GAL5,SPDRS
8869,ST3GAL5,ST3GAL5,ST3Gal V
8869,ST3GAL5,ST3GAL5,ST3GalV
8869,ST3GAL5,ST3GAL5,ST3GAL5
80758,PRR7,PRR7,PRR7
22934,RPIA,RPIA,RPI
22934,RPIA,RPIA,RPIAD
22934,RPIA,RPIA,RPIA
1906,EDN1,EDN1,ARCND3
1906,EDN1,EDN1,ET1
1906,EDN1,EDN1,HDLCQ7
1906,EDN1,EDN1,PPET1
1906,EDN1,EDN1,QME
1906,EDN1,EDN1,EDN1
116832,RPL39L,RPL39L,L39-2
116832,RPL39L,RPL39L,RPL39L1
116832,RPL39L,RPL39L,RPL39L
51719,CAB39,CAB39,CGI-66
51719,CAB39,CAB39,MO25
51719,CAB39,CAB39,CAB39
7016,TESK1,TESK1,TESK1
57215,THAP11,THAP11,CTG-B43a
57215,THAP11,THAP11,CTG-B45d
57215,THAP11,THAP11,HRIHFB2206
57215,THAP11,THAP11,RONIN
57215,THAP11,THAP11,THAP11
10362,HMG20B,HMG20B,BRAF25
10362,HMG20B,HMG20B,BRAF35
10362,HMG20B,HMG20B,HMGX2
10362,HMG20B,HMG20B,HMGXB2
10362,HMG20B,HMG20B,PP7706
10362,HMG20B,HMG20B,SMARCE1r
10362,HMG20B,HMG20B,SOXL
10362,HMG20B,HMG20B,pp8857
10362,HMG20B,HMG20B,HMG20B
6461,SHB,SHB,bA3J10.2
6461,SHB,SHB,SHB
9842,PLEKHM1,PLEKHM1,AP162
9842,PLEKHM1,PLEKHM1,B2
9842,PLEKHM1,PLEKHM1,OPTA3
9842,PLEKHM1,PLEKHM1,OPTB6
9842,PLEKHM1,PLEKHM1,PLEKHM1
51495,HACD3,HACD3,B-IND1
51495,HACD3,HACD3,BIND1
51495,HACD3,HACD3,HSPC121
51495,HACD3,HACD3,PTPLAD1
51495,HACD3,HACD3,HACD3
57406,ABHD6,ABHD6,ABHD6
63933,MCUR1,MCUR1,C6orf79
63933,MCUR1,MCUR1,CCDC90A
63933,MCUR1,MCUR1,FMP32
63933,MCUR1,MCUR1,MCUR1
2185,PTK2B,PTK2B,CADTK
2185,PTK2B,PTK2B,CAKB
2185,PTK2B,PTK2B,FADK2
2185,PTK2B,PTK2B,FAK2
2185,PTK2B,PTK2B,PKB
2185,PTK2B,PTK2B,PTK
2185,PTK2B,PTK2B,PYK2
2185,PTK2B,PTK2B,RAFTK
2185,PTK2B,PTK2B,PTK2B
1454,CSNK1E,CSNK1E,CKIe
1454,CSNK1E,CSNK1E,CKIepsilon
1454,CSNK1E,CSNK1E,HCKIE
1454,CSNK1E,CSNK1E,CSNK1E
5498,PPOX,PPOX,PPO
5498,PPOX,PPOX,V290M
5498,PPOX,PPOX,VP
5498,PPOX,PPOX,PPOX
3551,IKBKB,IKBKB,IKK-beta
3551,IKBKB,IKBKB,IKK2
3551,IKBKB,IKBKB,IKKB
3551,IKBKB,IKBKB,IMD15
3551,IKBKB,IKBKB,IMD15A
3551,IKBKB,IKBKB,IMD15B
3551,IKBKB,IKBKB,NFKBIKB
3551,IKBKB,IKBKB,IKBKB
1788,DNMT3A,DNMT3A,DNMT3A2
1788,DNMT3A,DNMT3A,HESJAS
1788,DNMT3A,DNMT3A,M.HsaIIIA
1788,DNMT3A,DNMT3A,TBRS
1788,DNMT3A,DNMT3A,DNMT3A
1500,CTNND1,CTNND1,BCDS2
1500,CTNND1,CTNND1,CAS
1500,CTNND1,CTNND1,CTNND
1500,CTNND1,CTNND1,P120CAS
1500,CTNND1,CTNND1,P120CTN
1500,CTNND1,CTNND1,p120
1500,CTNND1,CTNND1,p120(CAS)
1500,CTNND1,CTNND1,p120(CTN)
1500,CTNND1,CTNND1,CTNND1
902,CCNH,CCNH,CAK
902,CCNH,CCNH,CycH
902,CCNH,CCNH,p34
902,CCNH,CCNH,p37
902,CCNH,CCNH,CCNH
5111,PCNA,PCNA,ATLD2
5111,PCNA,PCNA,PCNA
6908,TBP,TBP,GTF2D
6908,TBP,TBP,GTF2D1
6908,TBP,TBP,HDL4
6908,TBP,TBP,SCA17
6908,TBP,TBP,TFIID
6908,TBP,TBP,TBP
8321,FZD1,FZD1,FZD1
3091,HIF1A,HIF1A,HIF-1-alpha
3091,HIF1A,HIF1A,HIF-1A
3091,HIF1A,HIF1A,HIF-1alpha
3091,HIF1A,HIF1A,HIF1
3091,HIF1A,HIF1A,HIF1-ALPHA
3091,HIF1A,HIF1A,MOP1
3091,HIF1A,HIF1A,PASD8
3091,HIF1A,HIF1A,bHLHe78
3091,HIF1A,HIF1A,HIF1A
51021,MRPS16,MRPS16,CGI-132
51021,MRPS16,MRPS16,COXPD2
51021,MRPS16,MRPS16,MRP-S16
51021,MRPS16,MRPS16,RPMS16
51021,MRPS16,MRPS16,MRPS16
55604,LRRC16A,CARMIL1,CARMIL
55604,LRRC16A,CARMIL1,CARMIL1a
55604,LRRC16A,CARMIL1,LRRC16
55604,LRRC16A,CARMIL1,LRRC16A
55604,LRRC16A,CARMIL1,dJ501N12.1
55604,LRRC16A,CARMIL1,dJ501N12.5
55604,LRRC16A,CARMIL1,CARMIL1
93487,MAPK1IP1L,MAPK1IP1L,C14orf32
93487,MAPK1IP1L,MAPK1IP1L,MISS
93487,MAPK1IP1L,MAPK1IP1L,c14_5346
93487,MAPK1IP1L,MAPK1IP1L,MAPK1IP1L
8720,MBTPS1,MBTPS1,PCSK8
8720,MBTPS1,MBTPS1,S1P
8720,MBTPS1,MBTPS1,SEDKF
8720,MBTPS1,MBTPS1,SKI-1
8720,MBTPS1,MBTPS1,MBTPS1
427,ASAH1,ASAH1,AC
427,ASAH1,ASAH1,ACDase
427,ASAH1,ASAH1,ASAH
427,ASAH1,ASAH1,PHP
427,ASAH1,ASAH1,PHP32
427,ASAH1,ASAH1,SMAPME
427,ASAH1,ASAH1,ASAH1
5290,PIK3CA,PIK3CA,CLAPO
5290,PIK3CA,PIK3CA,CLOVE
5290,PIK3CA,PIK3CA,CWS5
5290,PIK3CA,PIK3CA,MCAP
5290,PIK3CA,PIK3CA,MCM
5290,PIK3CA,PIK3CA,MCMTC
5290,PIK3CA,PIK3CA,PI3K
5290,PIK3CA,PIK3CA,PI3K-alpha
5290,PIK3CA,PIK3CA,p110-alpha
5290,PIK3CA,PIK3CA,PIK3CA
23077,MYCBP2,MYCBP2,Myc-bp2
23077,MYCBP2,MYCBP2,PAM
23077,MYCBP2,MYCBP2,PHR1
23077,MYCBP2,MYCBP2,Phr
23077,MYCBP2,MYCBP2,MYCBP2
54850,FBXL12,FBXL12,Fbl12
54850,FBXL12,FBXL12,FBXL12
2523,FUT1,FUT1,H
2523,FUT1,FUT1,HH
2523,FUT1,FUT1,HSC
2523,FUT1,FUT1,FUT1
5321,PLA2G4A,PLA2G4A,GURDP
5321,PLA2G4A,PLA2G4A,PLA2G4
5321,PLA2G4A,PLA2G4A,cPLA2
5321,PLA2G4A,PLA2G4A,cPLA2-alpha
5321,PLA2G4A,PLA2G4A,PLA2G4A
10174,SORBS3,SORBS3,SCAM-1
10174,SORBS3,SORBS3,SCAM1
10174,SORBS3,SORBS3,SH3D4
10174,SORBS3,SORBS3,SORBS3
10329,TMEM5,RXYLT1,HP10481
10329,TMEM5,RXYLT1,MDDGA10
10329,TMEM5,RXYLT1,TMEM5
10329,TMEM5,RXYLT1,RXYLT1
57149,LYRM1,LYRM1,A211C6.1
57149,LYRM1,LYRM1,LYRM1
5971,RELB,RELB,I-REL
5971,RELB,RELB,IMD53
5971,RELB,RELB,IREL
5971,RELB,RELB,REL-B
5971,RELB,RELB,RELB
9988,DMTF1,DMTF1,DMP1
9988,DMTF1,DMTF1,DMTF
9988,DMTF1,DMTF1,MRUL
9988,DMTF1,DMTF1,hDMP1
9988,DMTF1,DMTF1,DMTF1
9491,PSMF1,PSMF1,PI31
9491,PSMF1,PSMF1,PSMF1
2042,EPHA3,EPHA3,EK4
2042,EPHA3,EPHA3,ETK
2042,EPHA3,EPHA3,ETK1
2042,EPHA3,EPHA3,HEK
2042,EPHA3,EPHA3,HEK4
2042,EPHA3,EPHA3,TYRO4
2042,EPHA3,EPHA3,EPHA3
51466,EVL,EVL,RNB6
51466,EVL,EVL,EVL
2810,SFN,SFN,YWHAS
2810,SFN,SFN,SFN
9467,SH3BP5,SH3BP5,SAB
9467,SH3BP5,SH3BP5,SH3BP-5
9467,SH3BP5,SH3BP5,SH3BP5
29082,CHMP4A,CHMP4A,C14orf123
29082,CHMP4A,CHMP4A,CHMP4
29082,CHMP4A,CHMP4A,CHMP4B
29082,CHMP4A,CHMP4A,HSPC134
29082,CHMP4A,CHMP4A,SHAX2
29082,CHMP4A,CHMP4A,SNF7
29082,CHMP4A,CHMP4A,SNF7-1
29082,CHMP4A,CHMP4A,VPS32-1
29082,CHMP4A,CHMP4A,VPS32A
29082,CHMP4A,CHMP4A,CHMP4A
10180,RBM6,RBM6,3G2
10180,RBM6,RBM6,DEF-3
10180,RBM6,RBM6,DEF3
10180,RBM6,RBM6,HLC-11
10180,RBM6,RBM6,NY-LU-12
10180,RBM6,RBM6,g16
10180,RBM6,RBM6,RBM6
5720,PSME1,PSME1,HEL-S-129m
5720,PSME1,PSME1,IFI5111
5720,PSME1,PSME1,PA28A
5720,PSME1,PSME1,PA28alpha
5720,PSME1,PSME1,REGalpha
5720,PSME1,PSME1,PSME1
26020,LRP10,LRP10,LRP-10
26020,LRP10,LRP10,LRP9
26020,LRP10,LRP10,MST087
26020,LRP10,LRP10,MSTP087
