Name,HGNC_Symbol,hiPSC_Neuron,BloodmRNA,DISC1_RNA,gandalMicro,gandalRNAseq,hiPSC_NPC1,MtSinaiACC,MtSinaiDLPFC,MtSinaiMTA,MtSinaiTPA,Stanley,CommonMind_DLPFC,Deep_Neurons,Superficial_Neurons,Superficial_Deep_Neurons,Lewis_2017_L3,Lewis_2017_L5,Lewis_2015_L3,Lewis_2015_L5,barnesAll,barnesFemale,barnesMale,Iwamoto_BA10_SCZ,Iwamoto_BA46_SCZ,MaycoxAll,MaycoxFemale,MaycoxMale,PietersenAllParvalbumin,PietersenAllPyramidal,PietersenFemaleParvalbumin,PietersenFemalePyramidal,PietersenMaleParvalbumin,PietersenMalePyramidal
MEK2,MAP2K2,-0.06,-0.06,-0.38,-0.03,-0.04,-0.03,-0.11,0.11,0.21,0.13,0,-0.02,0,-0.01,-0.02,0.17,0.09,-0.03,0,-0.11,0.09,-0.29,0.22,-0.05,-0.04,0.03,-0.08,0.11,-0.3,-0.06,-0.22,0.27,-0.41
ERK1,MAPK3,0.02,-0.32,-0.08,0.04,0.06,0,0.3,0,0.16,0.13,-0.01,0.03,0.06,0.05,0.1,0.38,0.56,0.02,0,0.22,0.14,0.3,0.07,-0.11,0.03,0.25,-0.14,0.52,0.59,0.38,0.71,0.66,0.45
ERK2,MAPK1,-0.13,0.02,-0.24,0,-0.04,-0.03,0.29,0.04,-0.14,0.06,-0.06,-0.01,0.02,0.01,0.03,0.08,-0.03,0.01,0.01,0.07,-0.17,0.21,-0.17,-0.09,0.05,0.09,0.02,-0.11,0.02,0.04,0.2,-0.26,-0.21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEKK1,MAP3K1,0.33,NA,0.21,-0.05,-0.05,0.18,-0.12,0.15,-0.04,-0.07,0.01,0.02,0.03,0.05,0.08,-0.08,0.14,0.24,0.17,-0.54,-0.32,-0.86,-0.08,-0.25,0,0.42,-0.22,-1.16,-0.01,-1.42,0.49,-0.91,-0.63
MEKK2,MAP3K2,-0.06,-0.36,-0.22,0.05,0.06,-0.04,0.11,-0.28,-0.3,-0.37,0.02,0.01,-0.02,-0.02,-0.04,-0.01,0.21,0.1,-0.09,0.1,0.19,0.03,NA,0.08,0,0.03,0,-0.13,-0.61,-0.08,-0.19,-0.18,-1.12
MEKK3,MAP3K3,-0.01,-0.18,0.47,0.01,0.02,-0.09,-0.4,0.27,0.5,0.97,0.01,0.03,-0.01,-0.02,-0.03,0.03,-0.01,0.18,0.05,0.45,0.47,0.48,-0.28,0.01,0.12,0.24,0.1,-0.12,-0.54,-0.14,0.14,-0.09,-1.4
DLK,MAP3K12,-0.01,0.21,0.77,-0.05,-0.03,-0.14,0.11,-0.23,0.02,0.02,0,0.01,0.05,0.05,0.11,-0.3,-0.18,0.06,0.56,-0.08,-0.08,-0.1,0.12,0.05,-0.01,-0.07,0.06,0.13,0.24,-0.06,0.47,0.33,-0.05
MLK2,MAP3K10,-0.09,0.37,0.89,-0.02,-0.12,-0.03,NA,NA,NA,NA,-0.02,0,0.06,0.07,0.13,0.07,0.02,0.03,0.07,NA,NA,NA,-0.06,-0.23,0.05,-0.07,0.14,-0.47,0.01,0.12,-0.46,-1.06,0.6
TPL2,MAP3K8,-0.09,-0.31,-1.4,0.02,0.2,-0.14,NA,NA,NA,NA,0.02,0.04,0.11,0.12,0.23,0,0.02,0.16,0.12,0.08,0.07,0.12,0.55,-0.09,0.17,0.74,-0.15,-0.65,-0.17,-0.68,-0.37,-0.62,0.08
ASK1,MAP3K5,0.39,-0.28,0.06,0.04,-0.02,0.76,0.06,0.04,-0.08,0.12,0.01,-0.02,0.05,0.06,0.1,0.21,0.03,-0.03,0.05,0.15,0.04,0.25,0.05,0.05,0.05,0.05,0.09,0.25,-0.02,0.53,0.45,-0.03,-0.62
TAK1,MAP3K7,0.03,-0.08,-0.61,0.02,0,0.01,0.01,-0.06,-0.32,-0.26,0.03,0,-0.05,-0.06,-0.11,0.04,-0.06,-0.09,-0.02,-0.01,-0.02,-0.01,-0.04,-0.05,0,-0.02,-0.02,0.17,-0.02,-0.36,0.1,0.7,-0.18
TAO1,TAOK1,-0.03,NA,0.21,0.04,0.03,-0.05,-0.54,0.17,0.37,0.76,0.01,0.01,0.07,0.07,0.14,0,0.07,-0.04,-0.19,-0.02,0.13,-0.11,NA,0.07,0.02,-0.04,0.05,0.06,-0.1,0.39,0.54,-0.26,-0.89
TAO2,TAOK2,0.12,-0.63,0.52,-0.03,-0.04,0.05,0.06,-0.18,0.02,0.16,0.02,0.03,-0.08,-0.08,-0.16,0.07,0.22,0.04,0.02,-0.02,-0.22,0.14,-0.02,-0.07,-0.02,0.07,-0.1,0.15,0.14,0.15,0.73,0.15,-0.6
MEK3,MAP2K3,-0.3,0.23,-0.19,-0.03,0.13,0,-0.33,-0.27,-0.14,-0.14,0.05,-0.01,-0.02,-0.01,-0.03,0.1,0.05,0.12,0.15,0.28,0.54,0.03,0.43,0.06,0.01,0.08,0,-0.61,-0.06,-1.05,-0.24,-0.16,0.17
MEK6,MAP2K6,0.14,-0.47,-0.56,0.04,0.01,0.07,-0.17,-0.06,0.42,0.01,0.01,-0.02,0.28,0.31,0.59,-0.06,0.5,0.29,0.36,-0.18,-0.15,-0.25,-0.29,0.41,0.01,-0.03,0.03,0.54,-0.84,0.51,-1.12,0.57,-0.48
P38A,MAPK14,0.05,-0.28,-0.12,0.02,0.05,-0.06,0.24,0,-0.19,-0.14,0.01,-0.01,-0.04,-0.03,-0.07,0.24,-0.18,-0.05,0.04,0.21,0.11,0.3,0.05,-0.06,0.08,0,0.08,0.24,0.34,0.07,0.6,0.41,0.02
P38B,MAPK11,0.06,NA,-0.11,-0.02,-0.03,0.06,-0.29,0.03,0.46,0.17,-0.01,0.01,0.07,0.08,0.15,0.18,-0.3,0.09,0.16,-0.28,-0.88,0.08,-0.11,-0.19,-0.17,-0.09,-0.22,0.02,0.12,-0.25,0.2,0.29,0.03
P38D,MAPK13,0.22,-0.22,0.52,-0.03,-0.05,0.06,0.29,-0.03,-0.04,0.05,-0.01,-0.03,-0.01,-0.02,-0.03,-0.06,0.17,0.01,-0.09,-0.08,-0.3,0.04,0.05,0,0.1,0.03,0.11,-1.04,-0.08,-1.07,-0.48,-1.01,0.43
P38G,MAPK12,0.03,-0.09,0.73,-0.02,-0.04,0.01,-0.1,0.21,0.12,0,-0.01,-0.02,-0.02,0,-0.03,-0.77,-0.03,-0.12,-0.09,1.04,1.65,0.45,-0.04,-0.06,-0.01,0.2,-0.16,-0.29,0.5,-0.5,0.73,-0.62,0.38
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEKK1,MAP3K1,0.33,NA,0.21,-0.05,-0.05,0.18,-0.12,0.15,-0.04,-0.07,0.01,0.02,0.03,0.05,0.08,-0.08,0.14,0.24,0.17,-0.54,-0.32,-0.86,-0.08,-0.25,0,0.42,-0.22,-1.16,-0.01,-1.42,0.49,-0.91,-0.63
MEKK2,MAP3K2,-0.06,-0.36,-0.22,0.05,0.06,-0.04,0.11,-0.28,-0.3,-0.37,0.02,0.01,-0.02,-0.02,-0.04,-0.01,0.21,0.1,-0.09,0.1,0.19,0.03,NA,0.08,0,0.03,0,-0.13,-0.61,-0.08,-0.19,-0.18,-1.12
MEKK3,MAP3K3,-0.01,-0.18,0.47,0.01,0.02,-0.09,-0.4,0.27,0.5,0.97,0.01,0.03,-0.01,-0.02,-0.03,0.03,-0.01,0.18,0.05,0.45,0.47,0.48,-0.28,0.01,0.12,0.24,0.1,-0.12,-0.54,-0.14,0.14,-0.09,-1.4
DLK,MAP3K12,-0.01,0.21,0.77,-0.05,-0.03,-0.14,0.11,-0.23,0.02,0.02,0,0.01,0.05,0.05,0.11,-0.3,-0.18,0.06,0.56,-0.08,-0.08,-0.1,0.12,0.05,-0.01,-0.07,0.06,0.13,0.24,-0.06,0.47,0.33,-0.05
MLK2,MAP3K10,-0.09,0.37,0.89,-0.02,-0.12,-0.03,NA,NA,NA,NA,-0.02,0,0.06,0.07,0.13,0.07,0.02,0.03,0.07,NA,NA,NA,-0.06,-0.23,0.05,-0.07,0.14,-0.47,0.01,0.12,-0.46,-1.06,0.6
TPL2,MAP3K8,-0.09,-0.31,-1.4,0.02,0.2,-0.14,NA,NA,NA,NA,0.02,0.04,0.11,0.12,0.23,0,0.02,0.16,0.12,0.08,0.07,0.12,0.55,-0.09,0.17,0.74,-0.15,-0.65,-0.17,-0.68,-0.37,-0.62,0.08
ASK1,MAP3K5,0.39,-0.28,0.06,0.04,-0.02,0.76,0.06,0.04,-0.08,0.12,0.01,-0.02,0.05,0.06,0.1,0.21,0.03,-0.03,0.05,0.15,0.04,0.25,0.05,0.05,0.05,0.05,0.09,0.25,-0.02,0.53,0.45,-0.03,-0.62
TAK1,MAP3K7,0.03,-0.08,-0.61,0.02,0,0.01,0.01,-0.06,-0.32,-0.26,0.03,0,-0.05,-0.06,-0.11,0.04,-0.06,-0.09,-0.02,-0.01,-0.02,-0.01,-0.04,-0.05,0,-0.02,-0.02,0.17,-0.02,-0.36,0.1,0.7,-0.18
TAO1,TAOK1,-0.03,NA,0.21,0.04,0.03,-0.05,-0.54,0.17,0.37,0.76,0.01,0.01,0.07,0.07,0.14,0,0.07,-0.04,-0.19,-0.02,0.13,-0.11,NA,0.07,0.02,-0.04,0.05,0.06,-0.1,0.39,0.54,-0.26,-0.89
TAO2,TAOK2,0.12,-0.63,0.52,-0.03,-0.04,0.05,0.06,-0.18,0.02,0.16,0.02,0.03,-0.08,-0.08,-0.16,0.07,0.22,0.04,0.02,-0.02,-0.22,0.14,-0.02,-0.07,-0.02,0.07,-0.1,0.15,0.14,0.15,0.73,0.15,-0.6
MEK4,MAP2K4,-0.1,-0.25,-0.26,-0.09,-0.09,-0.04,0.4,-0.09,0.35,0.48,-0.09,-0.02,-0.03,-0.05,-0.08,0.31,-0.16,0.1,0.09,-0.04,-0.09,-0.03,0.02,-0.2,-0.03,-0.14,0,0.29,-0.03,0.97,0.01,-0.38,-0.08
MEK7,MAP2K7,-0.04,-0.07,-0.23,-0.02,0.01,-0.01,0.06,-0.1,0.1,-0.08,0.03,0,-0.04,-0.04,-0.08,0.13,-0.06,-0.01,0.08,-0.31,-0.57,-0.1,0.39,0.1,0,-0.01,0.04,-0.38,-0.75,-0.08,-0.71,-0.68,-0.79
JNK1,MAPK8,0,-1.02,0.31,-0.03,-0.06,-0.01,0.02,0.12,0.37,-0.03,-0.03,0,0.06,-0.06,0.12,-0.15,0.02,-0.2,-0.26,-0.04,-0.11,0,-0.45,-0.17,0.01,-0.06,0,-0.24,-0.45,-0.8,-0.41,0.32,-0.51
JNK2,MAPK9,-0.08,0.22,0.46,-0.09,-0.09,-0.09,0.37,-0.14,0.1,0.12,-0.08,0,0.1,0.1,0.2,-0.04,-0.07,0.01,-0.19,-0.09,-0.25,0.03,-0.03,-0.07,-0.1,-0.24,-0.07,0.71,-0.09,0.62,-0.11,0.8,-0.06
JNK3,MAPK10,-0.11,NA,-0.12,-0.02,-0.01,-0.02,0.34,-0.17,0.14,0.13,-0.01,-0.01,NA,NA,NA,0.13,0.22,0.09,-0.04,-0.05,-0.11,-0.01,0.15,0.03,-0.03,-0.11,-0.02,-0.05,-0.01,0.31,0.21,-0.41,-0.29
